gene	adj_pval	log_fc	clone	scores
ARL4C	2.0720275245540617e-142	1.8436888	G	25.717684
HSP90AA1	2.4268746265699194e-138	0.9688883	G	25.34528
HSPA8	8.283723604959393e-131	0.9202006	G	24.644657
TNFRSF12A	6.101255877665399e-119	1.9763919	G	23.500805
HSPA5	4.561178651898046e-106	0.694025	G	22.189354
STC2	3.3352478838987748e-105	1.4643654	G	22.098303
PFDN2	4.0054792301501e-104	1.2012339	G	21.984407
TRIB3	1.208731033077242e-98	1.3769524	G	21.397635
HSPD1	7.735459915733939e-88	0.98943186	G	20.199358
SCD	3.6670077430188505e-78	1.2809952	G	19.061756
SERPINE2	1.6298113734494754e-76	1.1721773	G	18.860052
FTL	1.2468296061885405e-69	0.60485405	G	17.991585
MARCKS	3.96662147912754e-68	3.596647	G	17.79793
UPP1	1.0360712345116323e-63	1.417547	G	17.2153
TXNRD1	4.665479191708607e-56	0.9638116	G	16.157745
RND3	1.911981068518814e-54	0.9662326	G	15.922978
EIF4EBP1	3.7052212087180995e-54	1.0481436	G	15.880728
MYH9	3.702743272808757e-53	0.62806934	G	15.734085
TCEA1	4.264217980305473e-53	0.6989356	G	15.724359
ATF3	3.0326877326658814e-51	1.1965377	G	15.448046
TMSB4X	7.881374029474009e-51	0.57928455	G	15.384136
LRRFIP1	1.873796222149952e-50	0.6862984	G	15.325118
SAT1	3.879100503535224e-50	0.9163658	G	15.277068
PVT1	2.4790839962749037e-49	2.1835237	G	15.154993
ANXA1	7.266651608032007e-46	0.63653874	G	14.614354
S100A11	6.507720649608329e-41	0.43053558	G	13.810204
PHLDA2	3.405841407678597e-39	0.9832321	G	13.519597
ENO1	8.976481563368133e-39	0.41000625	G	13.447489
ACSL3	1.2188353048464254e-38	0.75735974	G	13.424229
RAB32	1.50010672331838e-38	1.0086622	G	13.408221
HEBP2	2.582915574186879e-38	0.8254772	G	13.366637
HSPA9	1.0579576140657972e-37	0.5792525	G	13.259513
SH3BGR	2.1048176067850117e-37	1.0887729	G	13.20723
UGCG	2.4228753507384007e-37	1.3233663	G	13.196039
GDF15	5.8229970221163705e-37	1.2578064	G	13.129212
TMBIM6	1.4790878786511757e-35	0.4231913	G	12.879578
YBX1	2.1151473560416296e-35	0.4054365	G	12.851361
FLNA	7.011252048799508e-35	0.44499072	G	12.757178
MYC	1.1189393199490738e-34	0.9111281	G	12.720134
TUBA1B	3.660656947534365e-34	0.5995413	G	12.625479
CCT3	6.0248019877390175e-34	0.67598593	G	12.585636
IARS	7.886017873410812e-34	0.6972473	G	12.563802
HSPH1	1.3211266748300983e-33	0.83096427	G	12.522367
MAP1LC3B	2.177429987210898e-33	0.71993184	G	12.482098
PEA15	5.7902514700359456e-33	1.3260263	G	12.40344
DKK1	6.414325165820982e-33	1.7145139	G	12.39414
TPM4	1.603536506190066e-32	0.4772379	G	12.317771
FABP5	2.2034153852839752e-32	0.77932996	G	12.291056
HNRNPA3	3.084093406233559e-31	0.51956284	G	12.07275
QSOX1	3.367494383740754e-30	0.81881154	G	11.871388
PRSS23	4.965544053808996e-30	1.4280941	G	11.838355
RTN4	2.618999468972993e-29	0.43944347	G	11.695057
BEX2	3.7245741855848214e-29	0.8912012	G	11.6641445
HSPE1	4.0051984683817324e-29	0.7359419	G	11.6574745
GARS	4.0060311495496586e-29	0.638792	G	11.656975
JUND	7.361936758953225e-29	0.431408	G	11.604552
SET	1.8735347277001956e-28	0.45067513	G	11.522931
SLC43A3	2.08541451007386e-28	0.9044244	G	11.513223
GHITM	2.168809568180409e-28	0.58503556	G	11.509369
ABL2	6.446406662451102e-28	0.9223994	G	11.414093
MTHFD2	1.1734417939782977e-27	0.66436577	G	11.360485
SMS	1.8891715268644483e-27	0.7227563	G	11.318345
RNF187	2.05921726817664e-27	0.62301445	G	11.310323
MAP1B	2.329153577979305e-27	0.8976424	G	11.299049
NTN4	6.524843757375748e-27	0.8787671	G	11.20684
WARS	1.1210827526597897e-26	0.81839	G	11.157002
LARS	2.631310688211025e-26	0.6338799	G	11.079976
TUBA1C	3.0780912574373233e-26	0.53748685	G	11.065478
PPP1R15A	3.1917477126268444e-26	0.7381721	G	11.061782
RAN	4.325141040690871e-26	0.43128258	G	11.033611
LONP1	5.512212517321006e-26	0.77195734	G	11.010471
ACTN1	9.233909621441503e-26	0.62989116	G	10.963459
VIM	3.264731205649355e-25	0.28562558	G	10.848174
SESN2	8.516605848829506e-25	0.740365	G	10.758855
UNC5B	1.2015573088317768e-24	1.0175835	G	10.726219
TXN	1.5536704616348013e-24	0.5274159	G	10.702004
NCL	2.7731830063940328e-24	0.46160966	G	10.646479
ANP32B	4.078419805162662e-24	0.47513404	G	10.60923
FAM129A	6.1251103702337775e-24	1.0846256	G	10.57074
TCP1	7.143220810426683e-24	0.6467254	G	10.55589
SEC11C	4.435902202218381e-23	0.654025	G	10.379252
CAPN2	4.9803522471130845e-23	0.7204719	G	10.367377
LARP6	5.920955769546703e-23	0.7532144	G	10.350018
PSMA7	6.267770829612017e-23	0.4496762	G	10.344163
IRAK1	1.9821700751555876e-22	0.741296	G	10.232074
SLC35F6	2.3343491391106524e-22	0.8296823	G	10.215825
PNN	5.773531364697032e-22	0.6909088	G	10.125635
IGF2R	6.131131256915869e-22	0.49652895	G	10.118966
SERPINH1	1.4806812252452226e-21	0.48029658	G	10.030721
SQSTM1	2.492917692349587e-21	0.27408236	G	9.977215
UAP1	3.0234305058825378e-21	0.89531726	G	9.957279
ARF1	3.669410304356244e-21	0.41717458	G	9.937622
CCT5	5.420058526093466e-21	0.58190846	G	9.898298
CCT6A	9.203598437889797e-21	0.49554065	G	9.844051
EIF1AX	1.0132226536752155e-20	0.37339103	G	9.834001
ANXA2	1.2459389312433683e-20	0.22509512	G	9.812787
DYNC1H1	5.39496216606455e-20	0.41775125	G	9.66118
GTPBP2	7.133480171936094e-20	0.90616274	G	9.631407
SEC61G	8.310424472741378e-20	0.39672837	G	9.614964
LIMA1	1.032777478800636e-19	0.6905371	G	9.592203
DDX21	2.1225055127053324e-19	0.522704	G	9.517242
SRM	3.0621067193678457e-19	0.57138544	G	9.477594
RHOQ	5.834814464375355e-19	0.6075739	G	9.4086
PDP1	1.0954618733417067e-18	0.85718495	G	9.339975
BZW1	1.5170953432384785e-18	0.5281132	G	9.304718
ARHGEF2	2.7768102487844753e-18	0.69495827	G	9.23954
EIF5B	3.621770406049217e-18	0.4731367	G	9.2107115
YBX3	4.200981835326783e-18	0.31660506	G	9.194417
PTP4A1	9.451593980172361e-18	0.494016	G	9.106108
CHCHD10	1.515658675674983e-17	1.1472706	G	9.05399
STK17A	1.6458449855137175e-17	0.9014329	G	9.044635
FKBP4	2.4395000886269706e-17	0.7075893	G	9.000466
RALA	3.184490955776463e-17	0.6516892	G	8.970452
OSBPL8	3.400835582992564e-17	0.43405226	G	8.962856
KPNB1	7.340489975413507e-17	0.3906278	G	8.876232
CYCS	3.57584657891028e-16	0.6633354	G	8.695103
S100A6	3.872800184181984e-16	0.13706353	G	8.685691
MRPL33	5.289941103648961e-16	0.44899094	G	8.648785
LHFPL2	5.530776103329693e-16	0.63117576	G	8.643356
DNAJC10	6.896453574696812e-16	0.45444286	G	8.617428
FGF2	8.317089518600104e-16	0.723833	G	8.59526
AP2S1	8.881351910373714e-16	0.46912155	G	8.587377
RNMT	1.0455984617423432e-15	0.6006587	G	8.567914
EXOSC6	1.1757172450802646e-15	0.5174835	G	8.553713
MYL12A	1.2234141046290064e-15	0.46202037	G	8.548784
DNAJA1	1.274763239885192e-15	0.56475466	G	8.543699
FASN	1.4540888260308337e-15	0.61520696	G	8.528146
CYTOR	1.8472291961560906e-15	1.1529707	G	8.4994
IFRD2	2.038538418584163e-15	0.7966751	G	8.4876175
