gene	adj_pval	log_fc	clone	scores
VIM	3.926484060799711e-28	1.7063686	G	11.900902
NPM1	7.473953582619026e-15	1.1073139	G	8.823009
MT2A	1.3830037447684645e-14	0.916833	G	8.733267
EEF2	1.8148856161859263e-09	0.51311207	G	7.223812
TUBA1B	3.865717230248746e-08	1.1473987	G	6.7272534
NAP1L1	1.8416605033289602e-07	0.691449	G	6.486488
RPL35A	2.485285564850548e-07	0.5029161	G	6.4232597
TUBB	6.370345318925169e-07	0.75523853	G	6.262075
RPL15	1.2661238806278209e-06	0.43480632	G	6.146364
MT-CYB	2.4223456987969517e-06	0.43933454	G	6.0209985
EIF4B	2.931793534878207e-06	0.5760799	G	5.9833884
MT-ND4	2.9982916247078835e-06	0.45963573	G	5.973344
MT1E	2.4423476022830826e-05	0.67470235	G	5.5967
GAPDH	8.516428362926737e-05	0.60209674	G	5.343009
ACSL1	8.697576256829518e-05	1.0906881	G	5.333042
MYH9	8.697576256829518e-05	0.71567804	G	5.3293824
RPL14	0.00012518196449936038	0.525194	G	5.2526445
NEXN	0.00012518196449936038	1.2287447	G	5.245675
RPL3	0.00012518196449936038	0.47279748	G	5.2444296
EIF1AX	0.00014826949194937704	0.6424479	G	5.2087665
RPS14	0.0001725184848978116	0.380557	G	5.1762958
RPL10	0.0001836456006400162	0.41690817	G	5.160411
FN1	0.0001866567836013606	0.8194703	G	5.153247
TPM4	0.00019092086054595022	0.74752903	G	5.1410217
FABP5	0.00023738328649301258	0.9991503	G	5.0894737
ACTG1	0.00024261928041017654	0.4761995	G	5.077015
SNRPE	0.00026108521931724013	0.80674547	G	5.0559907
ENO1	0.0003911379587170632	0.56062627	G	4.9748144
SQSTM1	0.00047540887610317707	0.5660939	G	4.9334283
IMPDH2	0.0009191771903058235	0.9183735	G	4.779874
TOMM7	0.0011006129217561165	0.50060225	G	4.734244
EIF3M	0.001827774866007223	0.71439445	G	4.6212196
LDHB	0.003328994809436719	0.7520189	G	4.4853806
FLNA	0.003328994809436719	0.42245564	G	4.481137
TRNP1	0.003328994809436719	0.8943161	G	4.478684
RPS2	0.0035395193834127396	0.36678737	G	4.4590616
TPRA1	0.004504365365257941	1.1001259	G	4.3962617
CCT2	0.0051371679166630725	0.9211608	G	4.357211
RPS9	0.005638402354803716	0.5853136	G	4.3342404
RPL26	0.005708017170031166	0.3653742	G	4.3290234
HNRNPA1	0.007064874880982245	0.53438675	G	4.2768135
ITGA5	0.007740615312993208	1.0428426	G	4.251507
RPL39	0.008002767762876685	0.39656642	G	4.2416177
RPL19	0.008904449575869236	0.29504395	G	4.2104316
CCDC85B	0.009298832226218998	0.66960865	G	4.1982846
RPL24	0.00947829497821438	0.34778848	G	4.191627
RPL5	0.010265253450669351	0.39524615	G	4.1711864
NACA	0.01069282322827535	0.43244144	G	4.1595845
ARL4C	0.011538445422671633	0.8568483	G	4.139884
RACK1	0.011643325674282775	0.41678464	G	4.132331
KRT81	0.011978677472685302	1.28633	G	4.1203394
RPL23A	0.011978677472685302	0.4852027	G	4.118626
ATP5MC2	0.011978677472685302	0.63957125	G	4.1180034
RAB32	0.012539152162017645	0.88485396	G	4.10317
RPS28	0.013158223466227017	0.3141251	G	4.0898933
FAU	0.014132227629578172	0.31531847	G	4.069103
RPS23	0.015051052338422674	0.35150152	G	4.0523224
PVT1	0.015352021604940463	1.5485984	G	4.0456257
MCAM	0.018703477648452572	0.77231735	G	3.9950123
UBXN1	0.018964477186412695	0.77688813	G	3.9836826
MPC2	0.019903508706943775	0.899382	G	3.9702115
RPS13	0.02139559412883642	0.3324709	G	3.9490318
RPL10A	0.02159891576875873	0.5562628	G	3.9448268
RPL23	0.021663786173582698	0.3241267	G	3.9417121
EIF2S3	0.021663786173582698	0.73782414	G	3.9402716
RHOC	0.02184473346774646	0.7782668	G	3.9363782
SLC43A3	0.022536919774342384	0.8867518	G	3.9269953
MYDGF	0.022683629439287555	0.66126615	G	3.9221675
ATP6V0A1	0.022683629439287555	0.89270014	G	3.9217005
PLOD2	0.02398005461420841	0.8271539	G	3.9064384
SAT1	0.025661186021249845	0.7118309	G	3.8863487
TMEM123	0.028533889053028217	0.6400655	G	3.855046
HSPA8	0.030194088779740176	0.5458284	G	3.8376038
ANXA5	0.030837308082013074	0.47189376	G	3.8288827
VDAC2	0.03309663291170408	0.68977326	G	3.8079364
TMSB4X	0.03395598201579814	0.41187182	G	3.7981253
CRYAB	0.03409013422186448	1.0225458	G	3.7937257
MPST	0.04068571062596261	0.7440428	G	3.746188
SMS	0.04086638652797563	0.74163425	G	3.7433846
MME	0.0429130146156184	0.82694685	G	3.7280447
RPS15A	0.0429130146156184	0.32107553	G	3.7277334
TNFRSF12A	0.0443964852974155	0.7551672	G	3.7141845
BTG1	0.04738343854698424	0.5597173	G	3.6944063
DDX21	0.04768041420526977	0.6541302	G	3.6897342
SMIM3	0.04768041420526977	1.1647047	G	3.6895785
SLC39A14	0.05315138625282297	0.64777106	G	3.6570299
DMAC1	0.05372875661753132	1.0195388	G	3.6526694
DCBLD2	0.05454942737142737	0.78888404	G	3.646362
H2AFJ	0.05454942737142737	0.93596834	G	3.6456225
MRPL3	0.057276817988839726	0.83631504	G	3.6314895
LSM4	0.05849789339912596	0.8276116	G	3.6244814
PDGFC	0.05858710110594282	1.0097783	G	3.6225348
RPL4	0.059313169879260906	0.32442966	G	3.6162665
RPLP0	0.059507307148805096	0.26565602	G	3.6138916
RSL24D1	0.059838441757059546	0.7052303	G	3.6109326
NOP10	0.0655200034286011	0.70066404	G	3.5858204
TUBA1C	0.07019072492879609	0.58056974	G	3.5646796
EEF1A1	0.07019072492879609	0.26060557	G	3.563278
ATP5MD	0.07136903051570803	0.6231433	G	3.5558417
AKR1B1	0.07136903051570803	0.7421569	G	3.55444
ARFGAP3	0.07148693907324573	0.8420613	G	3.5525322
PPIA	0.07548755917795756	0.40864867	G	3.535246
ALKBH7	0.07598500933795907	0.6920511	G	3.5320532
SLC25A3	0.08104278173180478	0.5495689	G	3.513521
ABL2	0.08478612379468736	0.7961686	G	3.4986093
AHR	0.08579034278509272	0.6997726	G	3.491173
TSC22D3	0.08661054740536327	0.5933821	G	3.4871628
MAFG	0.08661054740536327	0.6607611	G	3.4858003
RNH1	0.08895717682627091	0.57572997	G	3.4772348
RPL22	0.09042168004881843	0.22713585	G	3.4697595
RPS18	0.09042168004881843	0.28063935	G	3.4686694
SSRP1	0.09089674886531968	0.6897353	G	3.4645035
DPYSL2	0.09377634270199264	0.384763	G	3.4534464
ZNF593	0.09377634270199264	0.81229186	G	3.4533684
RPS25	0.09497761418109316	0.30491757	G	3.4479177
MRPL54	0.09497761418109316	1.0555065	G	3.4450758
EIF3D	0.09497761418109316	0.64142036	G	3.444842
GDF15	0.09497761418109316	0.8200438	G	3.4445305
HGS	0.09698651580351449	0.8051627	G	3.4370165
STC2	0.09698651580351449	0.62509745	G	3.4352255
RPL41	0.09816834991106453	0.22013408	G	3.4300473
CEP57	0.10793859827334425	0.8709896	G	3.3978882
P4HA2	0.10867446750795261	0.60585696	G	3.3947346
RPS3A	0.113898339706209	0.2636848	G	3.379278
RPL32	0.11480598836839473	0.29752088	G	3.3758128
EPS8	0.11557491174281882	0.7122065	G	3.372698
ATP2B1	0.11666311705244337	0.50586337	G	3.3688438
MAEA	0.11894773709936574	0.96690124	G	3.362225
GPAT4	0.1222618383811764	1.0324031	G	3.3521023
EIF4A1	0.12835340703382347	0.6573141	G	3.3348157
PAICS	0.12835340703382347	0.74229497	G	3.3336089
RAB34	0.13231305239444183	0.93132377	G	3.3226686
RPL29	0.13363640549295053	0.28554747	G	3.3186584
LARS	0.1393616752814647	0.6000332	G	3.3056934
EIF3A	0.1394487330473566	0.42724615	G	3.304292
TPM2	0.15111974881255186	0.7050961	G	3.2804644
UBALD2	0.1516954224013011	1.0979201	G	3.2781675
PABPC4	0.15524052424570348	0.47812262	G	3.2704196
ACTB	0.15810039134684126	0.32095775	G	3.2640345
CCT8	0.16151636683339318	0.6478601	G	3.25617
GBE1	0.16151636683339318	0.7542028	G	3.255547
EIF3E	0.16200463169546442	0.43167987	G	3.2534835
RPL9	0.16356814060682853	0.2591016	G	3.2495513
GDI2	0.16504196310783503	0.62925303	G	3.245541
EPRS	0.16504196310783503	0.5829357	G	3.2446067
ANPEP	0.17130542075166305	0.6697365	G	3.231603
RSL1D1	0.17365381311656578	0.64769536	G	3.2233489
SH3BGR	0.17365381311656578	0.7141939	G	3.2218306
FSTL3	0.17760204813588754	0.572997	G	3.2122529
RPSA	0.17760204813588754	0.4075239	G	3.2119026
EIF3L	0.1800090719815447	0.38890472	G	3.20688
EIF3B	0.18387169057176794	0.5932369	G	3.1984704
SNHG8	0.18473394604089707	0.59692264	G	3.1959786
SBDS	0.18743740848771226	0.623929	G	3.1906447
SARS	0.19138170435731164	0.62051874	G	3.1823518
PDLIM4	0.19831461645194598	0.6976521	G	3.1686473
PHB2	0.19843549769813512	0.5174156	G	3.1662335
CDC42EP1	0.19948495800667013	0.9386464	G	3.163586
RPS26	0.19997940337878395	0.56260043	G	3.161756
PYCR1	0.2061113618315543	1.1153027	G	3.1507378
GABPB1-AS1	0.20659906187208388	0.586284	G	3.148947
TRAPPC3	0.2074467398360787	0.7966506	G	3.1455598
GABARAPL2	0.20931959417649604	0.68457633	G	3.1403816
UBC	0.20931959417649604	0.3727705	G	3.1386294
