gene	adj_pval	log_fc	clone	scores
EEF2	0.0	3.02605	G	72.53936
NEAT1	0.0	4.2563424	G	70.95569
RPLP2	0.0	1.9768453	G	70.46387
PSAP	0.0	3.56136	G	70.43664
RPL13	0.0	1.9221818	G	70.31715
EEF1A1	0.0	1.9488994	G	70.00924
MT-ND4	0.0	2.4304907	G	69.98818
TPT1	0.0	1.8290654	G	68.92268
FTL	0.0	3.1083767	G	68.15604
RPL4	0.0	2.0083237	G	68.127205
EIF4B	0.0	2.4341576	G	67.119865
RPL27A	0.0	1.8417524	G	66.971725
MT-ND2	0.0	2.3550718	G	66.89822
RPL23	0.0	1.8380919	G	66.65783
RPL36	0.0	1.7823504	G	66.59412
MT-CO1	0.0	2.1535249	G	66.26372
SQSTM1	0.0	3.0039406	G	65.8522
DUSP1	0.0	4.1326103	G	65.71355
MALAT1	0.0	2.8388355	G	64.96623
RPL37	0.0	1.6567105	G	64.28431
RPL9	0.0	1.7347515	G	64.229
RPL26	0.0	1.7650043	G	64.00621
PABPC1	0.0	1.5765587	G	63.72282
MT-CO2	0.0	1.7606529	G	63.026093
FTH1	0.0	1.8344501	G	62.89199
RPL13A	0.0	1.585015	G	62.389885
RPL37A	0.0	1.4722372	G	61.427505
RPS14	0.0	1.3741217	G	60.963135
RPL18A	0.0	1.486349	G	60.18975
RPS3A	0.0	1.4497418	G	60.012016
RPL38	0.0	1.736815	G	59.9287
KLF6	0.0	2.6692715	G	59.129295
MT-CYB	0.0	1.5136676	G	58.691208
FOS	0.0	4.3515296	G	57.365837
RPL34	0.0	1.331298	G	57.274265
RPS8	0.0	1.3310884	G	56.959576
SOD2_ENSG00000112096	0.0	4.3410587	G	56.73699
CCNI	0.0	1.8862741	G	56.24341
YBX3	0.0	1.664123	G	55.5279
MT-ND1	0.0	1.601477	G	55.42885
HSPB1	0.0	2.5575888	G	55.369457
MT-ND5	0.0	1.895901	G	55.320335
RPLP0	0.0	1.1207235	G	55.317406
RPLP1	0.0	0.9774243	G	55.26256
RPS27	0.0	1.3762295	G	55.20848
RPL22	0.0	1.262483	G	54.792187
NACA	0.0	1.2934272	G	54.503445
RPS25	0.0	1.2813926	G	54.286724
ZFAS1	0.0	1.9908533	G	54.099182
RPS18	0.0	1.2237927	G	54.097523
JUND	0.0	2.1981268	G	54.004383
HERPUD1	0.0	2.139841	G	53.83716
RPS21	0.0	1.2139591	G	53.814278
CALR	0.0	1.3305825	G	53.813313
RACK1	0.0	1.1968224	G	53.780933
UBA52	0.0	1.2181941	G	53.544735
RPS13	0.0	1.2648419	G	53.409405
RPL5	0.0	1.2071375	G	53.141754
NOP53	0.0	2.5047739	G	52.261364
RPL39	0.0	1.1874013	G	52.25451
RPS28	0.0	1.0501311	G	52.217186
MT-CO3	0.0	1.287982	G	52.114494
RPS11	0.0	1.2746223	G	51.95526
RPS12	0.0	1.1539106	G	51.187828
RPL21	0.0	1.2341417	G	50.46614
CANX	0.0	1.2237761	G	50.46584
RPS6	0.0	1.1755966	G	50.309315
SLC25A6	0.0	1.4160073	G	49.398663
RPL14	0.0	1.1195191	G	49.19138
PNRC1	0.0	3.1403062	G	48.525833
CRTAP	0.0	2.1872244	G	48.314056
ZFP36L1	0.0	1.7776972	G	48.031994
RPS20	0.0	1.1271484	G	47.87806
MT-ND3	0.0	1.0712876	G	47.525806
PCBP2	0.0	1.5149121	G	47.35062
DDX17	0.0	1.6618674	G	47.039745
EIF3L	0.0	1.5444207	G	46.802864
MT-ND4L	0.0	1.6488526	G	46.04638
GABPB1-AS1	0.0	2.4999995	G	45.34097
HLA-B	0.0	2.771823	G	44.994263
BRI3	0.0	1.3605509	G	44.828907
DPYSL2	0.0	1.3287884	G	44.35957
RB1CC1	0.0	2.5085704	G	44.244534
ERGIC1	0.0	2.102688	G	43.930923
TOMM7	0.0	1.1287221	G	43.726974
RPL35A	0.0	0.94504356	G	43.530357
EIF3E	0.0	1.2899432	G	43.154
NDRG1	0.0	2.246661	G	43.091583
XIST	0.0	2.0937676	G	43.033916
HIPK2	0.0	1.917108	G	42.99734
EGR1	0.0	2.1805625	G	42.949608
RPL24	0.0	0.87817466	G	42.816345
SELENOM	0.0	2.2582257	G	42.51124
VMP1	0.0	1.9378139	G	42.48491
RPL10	0.0	0.82751876	G	42.45664
SAA1	0.0	3.2824535	G	42.387688
ATF3	0.0	5.2814126	G	42.252262
RPL29	0.0	0.9558254	G	42.17835
ATF4	0.0	1.0527334	G	41.976543
RND3	0.0	2.3675096	G	41.08139
BIRC3	0.0	3.4200394	G	41.07019
FAU	0.0	0.77329814	G	40.79723
TCEA1	0.0	1.3846891	G	40.791676
BTG1	0.0	1.7053453	G	40.752583
IFITM3	0.0	1.8204093	G	40.557217
