G	A	F
Glycolysis / Gluconeogenesis	1.01135696694844	1.01182014343204	0.976822889619521
Citrate cycle (TCA cycle)	1.01934302251463	1.00878351834839	0.971873459136988
Pentose phosphate pathway	1.00912100842265	1.00299099321819	0.987887998359163
Pentose and glucuronate interconversions	0.998252033157553	1.00843687314372	0.993311093698728
Fructose and mannose metabolism	1.00038189777137	1.01455290922737	0.985065193001256
Galactose metabolism	1.00223325321102	1.02178686188265	0.975979884906321
Ascorbate and aldarate metabolism	0.984946467504083	1.02749191980917	0.987561612686743
Starch and sucrose metabolism	1.00441386734349	0.987244912739104	1.00834121991741
Amino sugar and nucleotide sugar metabolism	1.00761934360451	1.00127836613671	0.991102290258787
Pyruvate metabolism	1.02281189553652	0.995947240659717	0.981240863803765
Glyoxylate and dicarboxylate metabolism	1.0036220769811	1.0028447373932	0.993533185625695
Propanoate metabolism	1.00024802009364	1.00864166583821	0.991110314068143
Butanoate metabolism	0.991168348500646	1.0000719632645	1.00875968823486
Inositol phosphate metabolism	0.990806060274822	1.01694547429609	0.992248465429088
Oxidative phosphorylation	1.0151071398822	1.00477953805675	0.980113322061048
Nitrogen metabolism	0.975786467645792	1.0713195439784	0.952893988375808
Sulfur metabolism	0.993319659117839	1.05495868880559	0.951721652076572
Fatty acid biosynthesis	1.02791128373048	0.985239293496717	0.986849422772799
Fatty acid elongation	0.991829931721895	0.996001130024765	1.01216893825334
Fatty acid degradation	0.995975514435849	1.02753730545337	0.976487180110783
Synthesis and degradation of ketone bodies	0.978078997237308	0.998494490072667	1.02342651269002
Steroid biosynthesis	0.989844226227773	0.980578359007601	1.02957741476463
Primary bile acid biosynthesis	0.989201183666307	1.01141986588545	0.999378950448244
Steroid hormone biosynthesis	0.981929470698745	1.01116795888283	1.00690257041842
Glycerolipid metabolism	0.996976816521681	0.992106654934363	1.01091652854396
Glycerophospholipid metabolism	1.00009531435289	0.998526234109103	1.00137845153801
Ether lipid metabolism	0.993917449709889	1.00097887502003	1.00510367527008
Sphingolipid metabolism	0.996089488942914	0.980210606853398	1.02369990420369
Arachidonic acid metabolism	0.976883962473173	1.03486731794291	0.988248719583916
Linoleic acid metabolism	0.989857348595926	0.990827510973655	1.01931514043042
alpha-Linolenic acid metabolism	0.979787319037611	1.00994557726526	1.01026710369713
Biosynthesis of unsaturated fatty acids	0.990804843582225	0.977076129721005	1.03211902669677
Purine metabolism	1.00938085454519	0.991641660104639	0.998977485350172
Pyrimidine metabolism	1.01838487811567	0.987922882882973	0.993692239001357
Alanine, aspartate and glutamate metabolism	1.01797682326821	0.981706028978669	1.00031714775312
Glycine, serine and threonine metabolism	1.03028645543603	1.01830726828822	0.951406276275746
Cysteine and methionine metabolism	1.01337186414627	0.977146350389125	1.0094817854646
Valine, leucine and isoleucine degradation	1.0034017188968	1.01834250114657	0.978255779956632
Valine, leucine and isoleucine biosynthesis	NA	NA	NA
Lysine degradation	1.00748187368349	1.01446406238857	0.978054063927933
Arginine biosynthesis	1.0029057659287	1.00617676449074	0.990917469580564
Arginine and proline metabolism	1.00827890916953	1.00665408057312	0.985067010257352
