p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene_id	MTgenes	p10	sample_id
28	6.80927955517419e-15	-0.96596752207924	1	1	1.23888032226839e-10	MT-ND4	mtDNA-encoded	9.90697064510805	SA039
148	2.97377042989791e-10	-0.589575412975746	1	1	5.41047792015627e-06	MT-ATP6	mtDNA-encoded	5.2667643709527	SA039
207	2.75165603184468e-09	-0.692338739539744	1	0.998	5.00636298433822e-05	MT-ND5	mtDNA-encoded	4.30047766523917	SA039
211	3.06722840012364e-09	-0.581497583948008	1	1	5.58051535118495e-05	MT-CYB	mtDNA-encoded	4.25332569284717	SA039
277	3.77601158771756e-08	-0.486380248050577	1	0.999	0.000687007548269333	MT-ND1	mtDNA-encoded	3.16303849124655	SA039
300	5.77011609667327e-08	-0.621612258395664	0.978	0.995	0.00104981492262874	MT-ND4L	mtDNA-encoded	2.97888725823081	SA039
303	6.00477138248052e-08	-0.491223856114348	1	1	0.00109250810532851	MT-CO2	mtDNA-encoded	2.9615753323105	SA039
655	1.23799244351243e-05	-0.435550562564186	1	0.999	0.225240345172652	MT-ND2	mtDNA-encoded	0.647353815789992	SA039
927	0.000113885696912782	-0.364885285423761	1	1	1	MT-ND3	mtDNA-encoded	0	SA039
932	0.00011643383386511	-0.336720602507887	0.489	0.727	1	MT-ATP8	mtDNA-encoded	0	SA039
2118	0.00631362171968477	-0.268756117929137	1	1	1	MT-CO1	mtDNA-encoded	0	SA039
4834	0.132651840337415	-0.186733278840455	0.778	0.854	1	MT-ND6	mtDNA-encoded	0	SA039
8235	0.582295242382556	-0.143324776258625	1	1	1	MT-CO3	mtDNA-encoded	0	SA039
33	5.48665625173867e-113	0.782888302699402	0.992	0.997	1.15208807974009e-108	MT-ND3	mtDNA-encoded	107.938514316848	SA1035
52	1.39596429510639e-77	0.636017491525668	0.98	0.981	2.9312458268644e-73	MT-ND4L	mtDNA-encoded	72.5329477582337	SA1035
1404	7.0532275382013e-09	0.117617177804515	1	1	0.000148103671847151	MT-CO2	mtDNA-encoded	3.82943417413789	SA1035
1748	1.71024658222585e-07	0.114728546258534	0.993	0.999	0.00359117577335784	MT-ND2	mtDNA-encoded	2.44476333741608	SA1035
2230	3.93434960375148e-06	0.128992789416523	0.714	0.686	0.0826134729795735	MT-ND6	mtDNA-encoded	1.08294912019131	SA1035
3502	0.000533296323432594	0.0515373595385746	0.999	0.999	1	MT-ND4	mtDNA-encoded	0	SA1035
5603	0.0320943064058202	-0.0430072194321358	0.997	0.999	1	MT-CO1	mtDNA-encoded	0	SA1035
6295	0.0784695445587035	-0.079670117514957	0.994	0.996	1	MT-ND1	mtDNA-encoded	0	SA1035
8541	0.455801114151567	0.00120367834059021	0.998	1	1	MT-CYB	mtDNA-encoded	0	SA1035
9144	0.635346191491665	-0.0484594622024757	1	1	1	MT-CO3	mtDNA-encoded	0	SA1035
9315	0.68774124141544	-0.0407168820797894	0.999	1	1	MT-ATP6	mtDNA-encoded	0	SA1035
9680	0.818089789619983	-0.0196467794202695	0.995	0.997	1	MT-ND5	mtDNA-encoded	0	SA1035
9999	0.92690952781401	-0.0344744847451046	0.882	0.877	1	MT-ATP8	mtDNA-encoded	0	SA1035
670	0.00916151051164255	0.289491930170509	1	0.994	1	MT-CO2	mtDNA-encoded	0	SA1054
985	0.0254900500731045	0.0467547495105967	1	0.997	1	MT-CO3	mtDNA-encoded	0	SA1054
1042	0.0297754477091614	0.0855950009581123	0.933	0.986	1	MT-ND1	mtDNA-encoded	0	SA1054
2347	0.15172088993914	0.207226710310526	1	0.996	1	MT-CO1	mtDNA-encoded	0	SA1054
2501	0.169282659479414	-0.0314399497430022	1	0.995	1	MT-ND3	mtDNA-encoded	0	SA1054
2947	0.230418401204779	0.0443539808947202	0.987	0.974	1	MT-ND2	mtDNA-encoded	0	SA1054
3603	0.335347786618984	0.0802279530441679	0.787	0.741	1	MT-ND4L	mtDNA-encoded	0	SA1054
4826	0.545418812060492	0.000906531672153044	0.867	0.889	1	MT-ND5	mtDNA-encoded	0	SA1054
5036	0.583830899326193	0.0154753906498634	0.2	0.238	1	MT-ATP8	mtDNA-encoded	0	SA1054
6156	0.809026799809488	0.150596373640903	0.987	0.991	1	MT-ATP6	mtDNA-encoded	0	SA1054
6384	0.858117607056936	0.105754265737993	0.893	0.983	1	MT-CYB	mtDNA-encoded	0	SA1054
6686	0.921271645773877	0.00687838035306676	1	0.994	1	MT-ND4	mtDNA-encoded	0	SA1054
6739	0.931112547885315	0.0170046524513254	0.333	0.323	1	MT-ND6	mtDNA-encoded	0	SA1054
183	2.77002833200525e-52	-0.408823030745012	0.98	0.989	4.46971771652368e-48	MT-ND2	mtDNA-encoded	47.3497199037198	SA1055
249	1.57537198182006e-44	-0.306293709476314	0.996	0.991	2.54202022986485e-40	MT-ATP6	mtDNA-encoded	39.5948209975728	SA1055
462	2.85731827485772e-30	-0.219792933018254	0.997	0.999	4.61056876831041e-26	MT-ND3	mtDNA-encoded	25.3362454959331	SA1055
695	1.6784400103156e-22	-0.270949789084163	0.891	0.947	2.70833080064525e-18	MT-ND4L	mtDNA-encoded	17.5672982911978	SA1055
1901	4.56031915317151e-10	-0.113703113814858	0.22	0.331	7.35853098555754e-06	MT-ATP8	mtDNA-encoded	5.13320887704073	SA1055
2143	4.83204737528747e-09	-0.166988058498875	0.929	0.965	7.79699164476386e-05	MT-ND5	mtDNA-encoded	4.10807293116792	SA1055
3110	4.49665698395417e-06	0.141146491456276	0.991	0.989	0.0725580570930845	MT-CYB	mtDNA-encoded	1.13931435501424	SA1055
6039	0.031525094578142	0.0958142235913746	0.997	0.992	1	MT-CO3	mtDNA-encoded	0	SA1055
6322	0.0510973304313542	0.0555377224261449	0.997	0.992	1	MT-CO1	mtDNA-encoded	0	SA1055
6455	0.0614018613282672	0.0859926060442011	0.988	0.986	1	MT-ND1	mtDNA-encoded	0	SA1055
6574	0.0743815409677491	-0.0457317600168681	0.997	0.997	1	MT-CO2	mtDNA-encoded	0	SA1055
7708	0.325984140874558	-0.00577420823689589	0.996	0.991	1	MT-ND4	mtDNA-encoded	0	SA1055
8100	0.480065755382318	-0.00817785441107305	0.26	0.273	1	MT-ND6	mtDNA-encoded	0	SA1055
271	0.00340541206307868	0.697605513824653	1	0.999	1	MT-CO3	mtDNA-encoded	0	SA1188
1254	0.065434683728947	0.546896503707873	1	0.977	1	MT-ND5	mtDNA-encoded	0	SA1188
1476	0.083405005915908	0.602686908248399	1	0.998	1	MT-CO1	mtDNA-encoded	0	SA1188
1482	0.0836260111088491	0.660794777754349	1	0.997	1	MT-ND1	mtDNA-encoded	0	SA1188
1985	0.124526657153039	0.559570290860667	1	0.995	1	MT-ND2	mtDNA-encoded	0	SA1188
6190	0.590328723269404	0.528335312637426	1	1	1	MT-ND4	mtDNA-encoded	0	SA1188
6609	0.640994882786379	0.510124183944746	1	1	1	MT-CO2	mtDNA-encoded	0	SA1188
6850	0.670659743581665	0.417719950483758	1	0.949	1	MT-ND4L	mtDNA-encoded	0	SA1188
7351	0.731896118532023	0.33411979462742	0.351	0.371	1	MT-ATP8	mtDNA-encoded	0	SA1188
7803	0.787358156109379	0.517857689969618	1	1	1	MT-CYB	mtDNA-encoded	0	SA1188
9231	0.979881062376987	0.493425141724122	1	1	1	MT-ND3	mtDNA-encoded	0	SA1188
9296	0.988993928627075	0.315131802831886	0.439	0.452	1	MT-ND6	mtDNA-encoded	0	SA1188
9363	0.995957838034837	0.61471606189413	1	1	1	MT-ATP6	mtDNA-encoded	0	SA1188
5	6.81121652659204e-05	0.381138345917713	1	0.992	1	MT-ATP6	mtDNA-encoded	0	SA610
55	0.0036734728033422	0.266836773938246	1	0.992	1	MT-ND3	mtDNA-encoded	0	SA610
82	0.00544734548072964	0.133964808581842	0.806	0.724	1	MT-ATP8	mtDNA-encoded	0	SA610
