sample_id	index	frac_genome	type
SA604-ALL	0.000472143531633617	14585	DNA
SA604-ALL	0.000944287063267233	14635	DNA
SA604-ALL	0.00141643059490085	14640	DNA
SA604-ALL	0.00188857412653447	14684	DNA
SA604-ALL	0.00236071765816808	14774	DNA
SA604-ALL	0.0028328611898017	14850	DNA
SA604-ALL	0.00330500472143532	14864	DNA
SA604-ALL	0.00377714825306893	14924	DNA
SA604-ALL	0.00424929178470255	14998	DNA
SA604-ALL	0.00472143531633617	15024	DNA
SA604-ALL	0.00519357884796978	15112	DNA
SA604-ALL	0.0056657223796034	15116	DNA
SA604-ALL	0.00613786591123702	15199	DNA
SA604-ALL	0.00661000944287063	15241	DNA
SA604-ALL	0.00708215297450425	15259	DNA
SA604-ALL	0.00755429650613787	15356	DNA
SA604-ALL	0.00802644003777148	15371	DNA
SA604-ALL	0.0084985835694051	15444	DNA
SA604-ALL	0.00897072710103872	15495	DNA
SA604-ALL	0.00944287063267233	15515	DNA
SA604-ALL	0.00991501416430595	15573	DNA
SA604-ALL	0.0103871576959396	15580	DNA
SA604-ALL	0.0108593012275732	15649	DNA
SA604-ALL	0.0113314447592068	15693	DNA
SA604-ALL	0.0118035882908404	15696	DNA
SA604-ALL	0.012275731822474	15717	DNA
SA604-ALL	0.0127478753541076	15732	DNA
SA604-ALL	0.0132200188857413	15737	DNA
SA604-ALL	0.0136921624173749	15762	DNA
SA604-ALL	0.0141643059490085	15768	DNA
SA604-ALL	0.0146364494806421	15790	DNA
SA604-ALL	0.0151085930122757	15813	DNA
SA604-ALL	0.0155807365439093	15824	DNA
SA604-ALL	0.016052880075543	15837	DNA
SA604-ALL	0.0165250236071766	15848	DNA
SA604-ALL	0.0169971671388102	15869	DNA
SA604-ALL	0.0174693106704438	15879	DNA
SA604-ALL	0.0179414542020774	15885	DNA
SA604-ALL	0.018413597733711	15902	DNA
SA604-ALL	0.0188857412653447	15917	DNA
SA604-ALL	0.0193578847969783	15933	DNA
SA604-ALL	0.0198300283286119	15944	DNA
SA604-ALL	0.0203021718602455	15947	DNA
SA604-ALL	0.0207743153918791	15967	DNA
SA604-ALL	0.0212464589235127	15975	DNA
SA604-ALL	0.0217186024551464	15989	DNA
SA604-ALL	0.02219074598678	15989	DNA
SA604-ALL	0.0226628895184136	15989	DNA
SA604-ALL	0.0231350330500472	16007	DNA
SA604-ALL	0.0236071765816808	16012	DNA
SA604-ALL	0.0240793201133144	16047	DNA
SA604-ALL	0.0245514636449481	16051	DNA
SA604-ALL	0.0250236071765817	16099	DNA
SA604-ALL	0.0254957507082153	16100	DNA
SA604-ALL	0.0259678942398489	16110	DNA
SA604-ALL	0.0264400377714825	16110	DNA
SA604-ALL	0.0269121813031161	16110	DNA
SA604-ALL	0.0273843248347498	16115	DNA
SA604-ALL	0.0278564683663834	16121	DNA
SA604-ALL	0.028328611898017	16121	DNA
SA604-ALL	0.0288007554296506	16123	DNA
SA604-ALL	0.0292728989612842	16130	DNA
SA604-ALL	0.0297450424929178	16140	DNA
SA604-ALL	0.0302171860245515	16147	DNA
SA604-ALL	0.0306893295561851	16149	DNA
SA604-ALL	0.0311614730878187	16152	DNA
SA604-ALL	0.0316336166194523	16159	DNA
SA604-ALL	0.0321057601510859	16161	DNA
SA604-ALL	0.0325779036827195	16162	DNA
SA604-ALL	0.0330500472143532	16170	DNA
SA604-ALL	0.0335221907459868	16171	DNA
SA604-ALL	0.0339943342776204	16173	DNA
SA604-ALL	0.034466477809254	16176	DNA
SA604-ALL	0.0349386213408876	16177	DNA
SA604-ALL	0.0354107648725212	16181	DNA
SA604-ALL	0.0358829084041549	16182	DNA
SA604-ALL	0.0363550519357885	16189	DNA
SA604-ALL	0.0368271954674221	16193	DNA
SA604-ALL	0.0372993389990557	16199	DNA
SA604-ALL	0.0377714825306893	16200	DNA
SA604-ALL	0.0382436260623229	16200	DNA
SA604-ALL	0.0387157695939566	16209	DNA
SA604-ALL	0.0391879131255902	16209	DNA
SA604-ALL	0.0396600566572238	16211	DNA
SA604-ALL	0.0401322001888574	16215	DNA
SA604-ALL	0.040604343720491	16217	DNA
SA604-ALL	0.0410764872521246	16217	DNA
SA604-ALL	0.0415486307837583	16218	DNA
SA604-ALL	0.0420207743153919	16219	DNA
SA604-ALL	0.0424929178470255	16226	DNA
SA604-ALL	0.0429650613786591	16232	DNA
SA604-ALL	0.0434372049102927	16232	DNA
SA604-ALL	0.0439093484419263	16234	DNA
SA604-ALL	0.04438149197356	16235	DNA
SA604-ALL	0.0448536355051936	16240	DNA
SA604-ALL	0.0453257790368272	16242	DNA
SA604-ALL	0.0457979225684608	16242	DNA
SA604-ALL	0.0462700661000944	16243	DNA
SA604-ALL	0.046742209631728	16249	DNA
SA604-ALL	0.0472143531633617	16250	DNA
SA604-ALL	0.0476864966949953	16252	DNA
SA604-ALL	0.0481586402266289	16261	DNA
SA604-ALL	0.0486307837582625	16262	DNA
SA604-ALL	0.0491029272898961	16264	DNA
SA604-ALL	0.0495750708215297	16267	DNA
SA604-ALL	0.0500472143531634	16270	DNA
SA604-ALL	0.050519357884797	16273	DNA
SA604-ALL	0.0509915014164306	16274	DNA
SA604-ALL	0.0514636449480642	16278	DNA
SA604-ALL	0.0519357884796978	16280	DNA
SA604-ALL	0.0524079320113314	16280	DNA
SA604-ALL	0.0528800755429651	16288	DNA
SA604-ALL	0.0533522190745987	16293	DNA
SA604-ALL	0.0538243626062323	16293	DNA
SA604-ALL	0.0542965061378659	16296	DNA
SA604-ALL	0.0547686496694995	16297	DNA
SA604-ALL	0.0552407932011331	16299	DNA
SA604-ALL	0.0557129367327668	16302	DNA
SA604-ALL	0.0561850802644004	16303	DNA
SA604-ALL	0.056657223796034	16306	DNA
SA604-ALL	0.0571293673276676	16308	DNA
SA604-ALL	0.0576015108593012	16310	DNA
SA604-ALL	0.0580736543909348	16312	DNA
SA604-ALL	0.0585457979225685	16316	DNA
SA604-ALL	0.0590179414542021	16319	DNA
SA604-ALL	0.0594900849858357	16321	DNA
SA604-ALL	0.0599622285174693	16322	DNA
SA604-ALL	0.0604343720491029	16322	DNA
SA604-ALL	0.0609065155807365	16323	DNA
SA604-ALL	0.0613786591123702	16324	DNA
SA604-ALL	0.0618508026440038	16325	DNA
SA604-ALL	0.0623229461756374	16326	DNA
SA604-ALL	0.062795089707271	16327	DNA
SA604-ALL	0.0632672332389046	16328	DNA
SA604-ALL	0.0637393767705382	16328	DNA
SA604-ALL	0.0642115203021719	16329	DNA
SA604-ALL	0.0646836638338055	16330	DNA
SA604-ALL	0.0651558073654391	16331	DNA
SA604-ALL	0.0656279508970727	16333	DNA
SA604-ALL	0.0661000944287063	16342	DNA
SA604-ALL	0.0665722379603399	16344	DNA
SA604-ALL	0.0670443814919736	16346	DNA
SA604-ALL	0.0675165250236072	16346	DNA
SA604-ALL	0.0679886685552408	16347	DNA
SA604-ALL	0.0684608120868744	16347	DNA
SA604-ALL	0.068932955618508	16355	DNA
SA604-ALL	0.0694050991501416	16355	DNA
SA604-ALL	0.0698772426817753	16358	DNA
SA604-ALL	0.0703493862134089	16359	DNA
SA604-ALL	0.0708215297450425	16360	DNA
SA604-ALL	0.0712936732766761	16362	DNA
SA604-ALL	0.0717658168083097	16366	DNA
SA604-ALL	0.0722379603399433	16367	DNA
SA604-ALL	0.072710103871577	16367	DNA
SA604-ALL	0.0731822474032106	16368	DNA
SA604-ALL	0.0736543909348442	16371	DNA
SA604-ALL	0.0741265344664778	16373	DNA
SA604-ALL	0.0745986779981114	16375	DNA
SA604-ALL	0.075070821529745	16376	DNA
SA604-ALL	0.0755429650613787	16377	DNA
SA604-ALL	0.0760151085930123	16378	DNA
SA604-ALL	0.0764872521246459	16382	DNA
SA604-ALL	0.0769593956562795	16384	DNA
SA604-ALL	0.0774315391879131	16384	DNA
SA604-ALL	0.0779036827195467	16386	DNA
SA604-ALL	0.0783758262511804	16389	DNA
SA604-ALL	0.078847969782814	16391	DNA
SA604-ALL	0.0793201133144476	16392	DNA
SA604-ALL	0.0797922568460812	16392	DNA
SA604-ALL	0.0802644003777148	16392	DNA
SA604-ALL	0.0807365439093484	16393	DNA
SA604-ALL	0.0812086874409821	16394	DNA
SA604-ALL	0.0816808309726157	16396	DNA
SA604-ALL	0.0821529745042493	16397	DNA
SA604-ALL	0.0826251180358829	16398	DNA
SA604-ALL	0.0830972615675165	16399	DNA
SA604-ALL	0.0835694050991501	16399	DNA
SA604-ALL	0.0840415486307838	16401	DNA
SA604-ALL	0.0845136921624174	16402	DNA
SA604-ALL	0.084985835694051	16402	DNA
SA604-ALL	0.0854579792256846	16404	DNA
SA604-ALL	0.0859301227573182	16405	DNA
SA604-ALL	0.0864022662889518	16405	DNA
SA604-ALL	0.0868744098205855	16406	DNA
SA604-ALL	0.0873465533522191	16408	DNA
