SDHB	ATP5IF1	NDUFS5	UQCRH	NDUFS2	SDHC	COX7A2L	COX5B	ATP5MC3	NDUFB3	NDUFA10	UQCRC1	NDUFB4	NDUFB5	ATP5ME	COX7B2	NDUFC1	SDHA	NDUFS6	NDUFS4	COX7C	UQCRQ	NDUFA2	COX7A2	NDUFA4	ATP5MF	NDUFA5	NDUFB2	NDUFB11	COX7B	NDUFA1	UQCRB	COX6C	NDUFB9	CYC1	NDUFB6	NDUFA8	NDUFS3	COX8A	NDUFV1	NDUFS8	NDUFC2	SDHD	ATP5MG	ATP5F1C	NDUFB8	ATP5MD	NDUFA9	ATP5MC2	ATP5F1B	NDUFA12	COX6A1	NDUFB1	COX8C	ATP5MPL	COX5A	NDUFB10	UQCRC2	NDUFAB1	COX4I1	ATP5MC1	ATP5PD	NDUFV2	ATP5F1A	ATP5F1E	ATP5F1D	NDUFS7	UQCR11	NDUFA11	NDUFA7	NDUFB7	NDUFA13	UQCRFS1	COX6B1	NDUFA3	COX6B2	UQCR10	NDUFA6	ATP5MGL	ATP5PF	ATP5PO	NDUFV3	MT.ND1	MT.ND2	MT.CO1	MT.CO2	MT.ATP8	MT.ATP6	MT.CO3	MT.ND3	MT.ND4L	MT.ND4	MT.ND5	MT.ND6	MT.CYB
SDHB	1	0.13261273129111	0.116725445736794	0.0674025830611911	0.0747161147597684	0.0438412192164073	0.0526060426182004	0.0717735158927039	0.145609415718044	0.125168148903404	0.0516912120834318	0.0588372462582743	0.0808956539754098	0.0675761073807026	0.0258486061778465	0.00702982989689051	0.0862371194480253	0.0607208438442673	0.103376207755927	0.0702798426026234	0.0421547855665875	0.105453995381679	0.0695467656810345	0.129435686021522	0.112606662426697	0.127615928584424	0.0629512852429054	0.144019424609797	0.0636380536757865	0.106940336532216	0.0675974862771245	-0.00471833079364772	0.103782289126504	0.0314719392971076	0.0999519706870576	0.0933313628776487	0.0890590900310317	0.0637558981362808	0.116660661125283	0.0654349269859547	0.0762334605953766	0.0754219574509219	0.0808151164036473	0.0873289595062734	0.114241198329489	0.0972395635374025	0.101416066444616	0.0710166644343309	0.058332165631305	0.0600221184951326	0.103425443153415	0.0490262898881897	0.0784477548817183	0.00749262041771629	0.0822770504983533	0.0545405098719109	0.0807829961521394	0.0354096988054186	0.0825725711867985	0.0158719848270649	0.115926292124704	0.0640224063651428	0.119577087396884	0.0500213654872823	0.0983035985922323	0.104874509665319	0.071546939335257	0.0379779406158468	0.0272065034116196	0.0200405926255112	0.0278874973802131	0.0604610067418776	0.0680601548469279	0.0728232256114098	0.0773580329284413	0.0187598771557239	0.142340884668034	0.0994320162861265	0.00878215736520562	0.110815985926168	0.0948492590465111	0.0631840692183021	-0.209254232977956	-0.193723730626306	-0.211593215317912	-0.206449216325722	-0.0252805848409612	-0.174802939494237	-0.217045765238312	-0.181933076182639	-0.153874539364217	-0.185611751151668	-0.183267260551435	-0.00196123357984438	-0.181563606323076
ATP5IF1	0.13261273129111	1	0.21409181223549	0.135422279753392	0.0933817516221318	0.0419392596016	0.0341329533461236	0.162700654562524	0.247264212315813	0.213515657044619	0.033313197542258	0.0925065888992801	0.133659655989996	0.0993656924736523	0.0173325278193071	-0.01116207189433	0.144495311946597	0.0698585297114445	0.166274167892057	0.116673472907643	0.0774664800184787	0.185766413413211	0.132107057696902	0.223355465305349	0.223543082150017	0.229565374587013	0.0737125421396656	0.249003736953491	0.114783822937861	0.211388956414568	0.150440850785881	-0.0418348572084412	0.127984333630821	0.045322852014542	0.191898503500952	0.159293721738666	0.129944056436017	0.0815549297792376	0.207601912349819	0.113583865400532	0.0916502809782385	0.113835757265048	0.0865139538411013	0.174144016432713	0.164280788066488	0.164766030043675	0.166777714316204	0.110872453947333	0.101615236332103	0.119841964559064	0.160995791396239	0.0335941638951839	0.11793921515691	-0.0117329094972337	0.131226454466451	0.0886819752209803	0.117088524908815	0.0498467543595668	0.120559555915646	0.0310027799307705	0.232371842051935	0.103997718582888	0.200073505013097	0.0739399372202562	0.161153441876344	0.159349973121309	0.106652468805733	0.0751559513985292	0.0353580290225522	0.0360382816810094	0.0375220194787179	0.0539690198481097	0.10841027106318	0.155495238766251	0.143875702215737	-0.0139585494391949	0.247052946928178	0.19058296724933	0.00774084218647899	0.203607038320612	0.168193199774253	0.0469916663508974	-0.310376970286654	-0.320792170982356	-0.333456885681322	-0.31868983344237	-0.0440704408512729	-0.232799821655284	-0.315921658440329	-0.271193004515896	-0.259095939810792	-0.318817881496795	-0.306854276538034	-0.0151748800842223	-0.291721213193711
NDUFS5	0.116725445736794	0.21409181223549	1	0.140853045658966	0.113168062388664	0.0362585675829738	0.0642735681638373	0.169867849515551	0.290412063051474	0.228405067800047	0.0403065564812297	0.10950269158377	0.145955598616569	0.0864807402544466	0.0401535536527463	0.0156748812415988	0.167028085843368	0.071029731693012	0.200309184674231	0.122251731669819	0.0747466145507834	0.216083192060439	0.107680619706951	0.250824269030164	0.240207840628317	0.257841948188398	0.0728680741253514	0.281753103817614	0.145940458146018	0.212501271169923	0.158491924982166	-0.0127236095212269	0.160816670641979	0.0435479327036185	0.163237798920001	0.172185556569509	0.154955529097209	0.105987207752652	0.208373724466644	0.100190699279189	0.10426451810094	0.123568213359592	0.0930864161402804	0.204037905199252	0.158520164370812	0.183495321628284	0.182108507558294	0.12595076652227	0.106862480921417	0.126487352763923	0.175514427686832	0.051518234448605	0.14447751081787	-0.00605205386014255	0.15004464769118	0.125223338774423	0.127074221945536	0.0505343351513479	0.146334165526896	0.0348030529126024	0.242722902309489	0.111055017015699	0.206366030659953	0.0810981173370987	0.204332123379495	0.177668029287972	0.0973543727023385	0.0758367480826209	0.0497003447296892	0.0656359820354777	0.0454106696412457	0.0505480599496115	0.105406848209412	0.169475261888594	0.135025651277833	-0.0235203915195158	0.248377591864005	0.199853754237305	0.00376699472747427	0.233141693565348	0.185166088179235	0.0753438551015388	-0.347567343867291	-0.354379352182353	-0.366676535503307	-0.34601120540272	-0.0729578187868997	-0.281372195773789	-0.355722204507593	-0.31363330661025	-0.282514071678677	-0.339736355159096	-0.337873127309124	-0.056060082965088	-0.327116118663918
UQCRH	0.0674025830611911	0.135422279753392	0.140853045658966	1	0.0405713344085042	0.0242640224918503	0.0948471729596803	0.101115385111752	0.121639343733341	0.104383517001526	0.0549507338560478	0.0455454823639558	0.0965118879990334	0.0685475932876606	0.0778997118409725	-0.0106271091639517	0.0845517310704796	0.0324728536595545	0.0833688338127976	0.0763239483484261	0.143086549344557	0.114422776830119	0.0646520940818381	0.10569030945159	0.049718152329648	0.0972779361546677	0.0577830698571068	0.091296532256002	0.0782536786474795	0.107592132164946	0.0489073497738814	0.115306752326039	0.0744114842223714	0.0366881088597682	0.0633429152781412	0.0503281488590383	0.0763803584188732	0.0675497950872023	0.094704937017564	0.0526895633317253	0.0517369138141743	0.0152521784330432	0.0607977935759321	0.161874039457369	0.100372023165974	0.0805243075011162	0.119987158581725	0.0467921111163968	0.127790290113244	0.088735794784806	0.0897954721815451	-0.0288619340951887	0.0938911909481167	0.00224888323131104	0.121733664454927	0.127344122636936	0.0808376561211632	0.048890398323667	0.0746867843835543	0.125157556264944	0.116301302689905	0.0900006151560972	0.0895533438708872	0.100531289571189	0.135504103133052	0.102094961546795	0.0743207737417222	0.10128805687445	0.064187557234865	0.0329932766597127	0.0599537737842436	0.0482355724041745	0.0716642920365097	0.129903208573823	0.0440704733561163	-0.0196826199449298	0.111695976589838	0.0836873476023322	0.00238081602637989	0.115702692986507	0.12382298533374	0.0318752956850735	-0.148202438508965	-0.130206994232536	-0.159570478493742	-0.155259281368068	-0.0712402570464005	-0.215432878554798	-0.183485493469638	-0.172496972764162	-0.154339463134229	-0.131166414912668	-0.161263138407681	-0.0632897153596751	-0.159234807581078
NDUFS2	0.0747161147597684	0.0933817516221318	0.113168062388664	0.0405713344085042	1	0.0475706482709198	0.00362935588189796	0.0802377549689658	0.149322546353306	0.121599509830063	0.0219018279003295	0.0645448268313659	0.063376666532675	0.0682997494222607	0.011280962204162	-0.00661427963450056	0.0567676363007093	0.05715627137594	0.107879623417052	0.0702560968314615	0.0125135689597172	0.0971534424858145	0.0590778289044966	0.130359525561996	0.13269596580424	0.139796410666417	0.0462084874428387	0.125004941796258	0.0663705340792441	0.0992260658409952	0.0869995126689389	-0.0512309571523432	0.0611174814727076	0.035943600027968	0.134614450776252	0.0909135287309138	0.0788627432547768	0.0669037673152566	0.115148838982457	0.0707553254730737	0.0720636149881914	0.0805368099287049	0.055170839212155	0.0716432255765834	0.0959190057980334	0.0919970225818565	0.0706517224906099	0.0716046758885805	0.0390020881988579	0.0668802398896024	0.0938614865411786	0.0485012631091055	0.0539878522273181	0.00230844037554084	0.0679184714244686	0.0510681412999596	0.0491808015224079	0.0520170578684648	0.0618897129548085	-0.0160900368412928	0.142705532033821	0.0291177945810569	0.105582398756817	0.0442974635350393	0.0722498336740192	0.0807368439390199	0.0696832677228969	0.0011491742985812	0.0274996616538362	0.0363703094244352	-0.00648409245495641	0.0445210288705336	0.0556046212711945	0.0871797465466123	0.0875987513125762	0.00593274026937877	0.128282340967541	0.114283899864647	0.0100201616270566	0.11280152045013	0.104042917676596	0.0500423623180734	-0.16389984382833	-0.174777604797767	-0.178764335294978	-0.164666881626685	0.00290837080509132	-0.115118814901218	-0.16736009256171	-0.146470857785639	-0.131029103677801	-0.169389602912163	-0.155817786480403	0.0217668876953008	-0.15347520241125
SDHC	0.0438412192164073	0.0419392596016	0.0362585675829738	0.0242640224918503	0.0475706482709198	1	0.0234773538072942	0.057337724390188	0.0430278724454616	0.0406919549550164	0.0172858850081735	0.0283021681967194	0.0349892178064084	0.0282615873713507	-0.00139755647060678	0.000836162891222122	0.033037737006948	0.0505465211578168	0.0513479893901672	0.0275335738245235	-0.00361097551450363	0.049056060631553	0.0310364037953411	0.0555859505298808	0.053865797990291	0.062378079003414	0.0391922214811625	0.0602097783746697	0.0304083674505845	0.0309673742197471	0.0375331104324087	-0.00630724792676491	0.0353557928702329	0.0148018114812315	0.0317494586609643	0.0581790139584198	0.0402786944451746	0.017379272909234	0.0366303761251452	0.0323330259642614	0.0402755995693991	0.022961515433002	0.0458723831610314	0.0264147058485347	0.029524100973998	0.0501265872825702	0.0442213752788823	0.0450342204494647	0.0118694671080699	0.0280448645542331	0.0478841494993047	0.0195651241049008	0.0243054621385799	0.0061523526788751	0.0282574221394796	0.0356512010205454	0.0220410316245603	0.02793261227948	0.0131451433741587	-0.025772435979936	0.0596848014268103	0.0198595427577779	0.034773959574628	0.0189748174272332	0.0404366902219953	0.0365621516024156	0.0201824513580138	0.0282578208716206	0.00931394959041017	0.0124256109067807	0.010298464932457	0.0223134306376069	0.0284895039588258	0.0225227109339441	0.0559107734063803	0.00918393554314425	0.0502623177827287	0.0447410974340051	0.0196065864479585	0.037014009582759	0.0277720308765607	0.0349726353884792	-0.0693468755748904	-0.0784619705637946	-0.0720719273232102	-0.0708979776615101	0.00428649079979626	-0.0521840245829474	-0.0790852211613776	-0.0576371123531759	-0.0514648542716677	-0.0675873316721215	-0.0581323006618193	0.0109442274107611	-0.0570258599346085
COX7A2L	0.0526060426182004	0.0341329533461236	0.0642735681638373	0.0948471729596803	0.00362935588189796	0.0234773538072942	1	0.0389347636440196	0.0225737922204926	0.0492790435699599	0.0469522203330606	0.0433578945927078	0.0371163974415362	0.00803307271838291	0.0690716257066726	0.0132883981513307	0.0487611815523749	0.0016065169111922	0.0363648085360848	0.0328623229156129	0.0770171569265956	0.0244989723919777	0.0463169967089473	0.0122073056527229	-0.0198206418329552	0.0238367995242568	0.0353487423109371	0.0103431864751376	0.0140447053455651	0.0271035225080446	-0.00131622171382103	0.11054205812454	0.0317582108638911	0.0166453882403751	0.00830683763906735	0.0100237895449232	0.0507546997033469	0.0486768908457654	0.0275697589232362	0.0465192491835609	0.0313012241341302	0.0249628949024059	0.046506976300811	0.0844532414281318	0.0426846252257816	0.0244779643081117	0.0682209912546086	0.015506707486068	0.0814934029113142	0.0290197074051872	0.0251269722691149	-0.0301726026847411	0.0353114700316687	0.00173695614562881	0.0534611371200803	0.0752979683159524	0.0594313386840943	0.0438220078201681	0.0577048323947882	0.0836453549893231	0.0140294706460435	0.0570237489458931	0.0208390181993325	0.0501752831778476	0.0909231660994715	0.0249660911120327	0.0493630535984597	0.0757780828384229	0.0640707446849287	0.0193934520348038	0.0429204850056588	0.0350523380249924	0.0275975006406827	0.0494950382398661	0.0166646197214832	-0.0166016616375161	0.036406780554489	0.0141716111661609	0.00035075972024544	0.0413863195081992	0.0518852058618249	0.0355581959164447	-0.0749717079544434	-0.036595554568416	-0.061380669932416	-0.068101551700822	-0.0357919788805282	-0.125107049931018	-0.099895449434035	-0.085613882316204	-0.0666875699611554	-0.0301189015700386	-0.0685122364873545	-0.0704304516415153	-0.065160743214633
COX5B	0.0717735158927039	0.162700654562524	0.169867849515551	0.101115385111752	0.0802377549689658	0.057337724390188	0.0389347636440196	1	0.248140051351882	0.201151906303292	0.0391521915164474	0.0700753528574536	0.117668122522982	0.101704241492005	-0.00992868205153261	-0.0138805458105844	0.136576385208752	0.0558975759496198	0.171928823945042	0.0938728731042505	0.0472100432964366	0.184080898666349	0.0789128337262517	0.223735952853749	0.228764549579643	0.222493993930554	0.0592924754541999	0.242807696406263	0.1043644998699	0.19491359209744	0.122948220489816	-0.0631582014576565	0.13089385291164	0.063340076961502	0.136857555900842	0.16012562539344	0.12195608292129	0.0866158551576676	0.1776670885282	0.0808501700430279	0.0763636916450569	0.106887894114176	0.0825601987083587	0.145011876834618	0.140262454277544	0.166425087800769	0.147149818594094	0.101114101252897	0.0720134052408084	0.11500659252199	0.150175008283245	0.0844296234185412	0.111735956773594	0.00782690885501608	0.121553573242602	0.110448204400461	0.0818297719883206	0.0693117667625412	0.117506312167677	0.00320753460725991	0.244514577107676	0.0764738023388495	0.169027482587538	0.0708147620013542	0.126434505382264	0.145548782065914	0.0929947833575537	0.0385065389840147	0.0318134944666646	0.0232182399155225	-0.000244422934632162	0.0511814017384947	0.0832208209084449	0.142039902498909	0.123555689299848	-0.0104045024879759	0.215465227295246	0.178522717170255	0.00910860597150147	0.176916308824678	0.143664551545248	0.0626897155569226	-0.269246332415574	-0.296224269249638	-0.294562622437269	-0.282060785996856	-0.0293697800897474	-0.221170320644376	-0.274595519835879	-0.254410565139762	-0.25253813158775	-0.292055190647334	-0.259167264612803	-0.0173163839572527	-0.275159511888402
ATP5MC3	0.145609415718044	0.247264212315813	0.290412063051474	0.121639343733341	0.149322546353306	0.0430278724454616	0.0225737922204926	0.248140051351882	1	0.318156989543414	0.0777149175186843	0.139965932782438	0.180754305195304	0.169264034062549	-0.0297310529122712	-0.0138014861153732	0.205155264349208	0.111634401269809	0.250191978249154	0.1757287849636	0.0403320308005699	0.293162607897031	0.129174414690314	0.411874087711523	0.429344238220951	0.391119225454039	0.0716643193900351	0.431903068764026	0.172130253902618	0.319222837407314	0.22519809591849	-0.169939725293938	0.191072039115178	0.0727493574715562	0.28091729960752	0.270970399714867	0.197543422993454	0.13334325186297	0.325686708490903	0.112696670745733	0.125928799952497	0.191990914573006	0.132616333735913	0.224528280676056	0.268630976188077	0.262390822933145	0.233095060934632	0.212565299693542	0.0844579166842736	0.159076481729217	0.252170061143933	0.113022558617614	0.191813723546496	0.00923253368578958	0.171307511327411	0.130365751624405	0.124755726938052	0.0605836832126976	0.158115399305742	-0.0454280115031653	0.416412766293595	0.0947890364715379	0.325159205559387	0.126048649096053	0.220386944138109	0.262205777143865	0.11869165738025	0.0494924257799252	0.0292914594834963	0.0523756400960196	-0.0161937501270495	0.0705427138224282	0.124529508175742	0.216479893362509	0.197426641312545	-0.0288021864952114	0.355021462163236	0.297152903861014	-0.00624435279924617	0.318712568600696	0.242475049509628	0.0993887968662265	-0.505473873748451	-0.564883727063976	-0.57055017676457	-0.555520756354816	-0.0635372428080392	-0.388007120331232	-0.514703653101109	-0.483937220822476	-0.425340527296948	-0.577300646205428	-0.49434418793248	-0.0120127814160581	-0.541017234301038
NDUFB3	0.125168148903404	0.213515657044619	0.228405067800047	0.104383517001526	0.121599509830063	0.0406919549550164	0.0492790435699599	0.201151906303292	0.318156989543414	1	0.0752114068602941	0.10203780463929	0.125547186456945	0.127445737602318	0.00804460117337908	-0.0109307507082439	0.153335210342743	0.0975893888102331	0.209725994611839	0.14013024737542	0.0391223545322492	0.220699372895296	0.119101870323044	0.288250125262908	0.286921150167666	0.283857776343856	0.0998355071775438	0.304161474742577	0.136376595511434	0.24299798501617	0.163151744784426	-0.0936545416063415	0.153008353533246	0.058811170054233	0.209572372836966	0.222662042189318	0.169063611872511	0.110744077196756	0.244202988440307	0.0893875206599088	0.108824054889585	0.144772001586581	0.0946292876418549	0.175039478772454	0.193328683487843	0.21432536438665	0.195891827810946	0.138665443326454	0.0776821485939238	0.123007492464655	0.196822889566792	0.0778194396964555	0.12631405336393	-0.000735970382216764	0.140777853107011	0.109855004911457	0.09289670100647	0.0551889439934052	0.144755630376974	-0.0200803087220352	0.273227577226583	0.111330132748581	0.222028208119131	0.072536179663849	0.169647425798078	0.184368755629423	0.110118421302571	0.0527964022899999	0.0404020205737805	0.0480051213723293	-0.00918061235055613	0.0761580686484097	0.121714988672446	0.162404467999512	0.149681095111358	-0.025052493365217	0.274587020473835	0.209721066063737	-0.00594356768894235	0.234223397053871	0.192448691007073	0.0543356076982961	-0.374609431889039	-0.407112993913908	-0.414783778450347	-0.393988463847247	-0.047017657268712	-0.281351080722432	-0.389746383945432	-0.349094259711778	-0.296221251788717	-0.402822383884062	-0.367228597404591	0.0170722585935512	-0.373727970238755
