pos	first	median	third
1	3	5	9
2	3	5	9
3	3	5	10
4	3	5	10
5	3	6	10
6	3	6	10
7	3	6	10
8	3	6	11
9	4	7	12
10	4	7	12
11	4	7	13
12	4	8	13
13	4	8	13
14	4	8	13
15	4	8	14
16	4	8	13
17	5	9	15
18	5	9	15
19	5	10	17
20	5	10	17
21	6	11	18
22	6	11	18
23	6	11	18
24	6	11	18
25	6	11	18
26	6	11	19
27	6	11	19
28	6	11	19
29	7	12	20
30	7	12	20
31	7	12	21
32	7	12	20
33	7	13	21
34	7	13	21
35	7	13	22
36	7	13	22
37	7	13	22
38	7	13	22
39	7	13	22
40	7	13	22
41	8	14	24
42	8	14	24
43	8	14	24
44	8	14	24
45	8	15	25
46	8	15	25
47	8	15	25
48	9	15	25
49	9	15	25
50	9	15	25
51	9	15	25
52	9	15	26
53	9	15	26
54	9	16	27
55	9	16	27
56	9	16	27
57	9	16	27
58	9	16	27
59	9	16	27
60	9	16	27
61	9	17	28
62	10	17	28
63	10	17	29
64	10	18	29
65	10	18	29
66	10	18	30
67	10	18	30
68	10	18	30
69	10	18	30
70	10	18	30
71	10	18	30
72	10	18	30
73	11	18	31
74	11	18	31
75	11	19	31
76	11	19	31
77	11	18	31
78	11	19	32
79	11	20	33
80	12	20	34
81	12	20	34
82	12	20	34
83	12	21	34
84	12	20	34
85	12	21	34
86	12	21	35
87	12	20	34
88	12	21	34
89	11	20	33
90	11	20	33
91	11	20	33
92	11	20	33
93	11	20	33
94	11	20	33
95	11	20	33
96	11	20	33
97	11	20	33
98	11	20	34
99	11	20	33
100	11	20	33
101	11	20	33
102	11	20	33
103	11	20	34
104	11	20	34
105	11	20	33
106	11	20	34
107	11	20	34
108	11	20	33
109	12	20	34
110	12	20	34
111	11	20	33
112	12	21	35
113	12	21	35
114	12	21	35
115	12	21	34
116	12	21	34
117	12	21	34
118	12	20	34
119	12	21	34
120	12	20	34
121	11	19	32
122	11	19	32
123	11	19	31
124	11	19	32
125	11	18	31
126	11	18	31
127	11	18	31
128	11	18	31
129	11	18	31
130	11	19	31
131	11	18	31
132	11	18	31
133	10	17	29
134	10	17	29
135	10	17	29
136	10	17	29
137	10	17	29
138	10	17	29
139	9	16	27
140	9	16	27
141	9	16	27
142	9	16	27
143	9	16	27
144	9	16	27
145	9	16	27
146	9	16	26
147	9	16	26
148	9	15	26
149	9	16	26
150	9	16	26
151	9	16	27
152	9	15	26
153	9	15	26
154	9	15	26
155	9	15	26
156	9	15	26
157	9	15	26
158	8	14	24
159	8	14	24
160	8	14	23
161	8	14	23
162	8	14	23
163	8	14	23
164	8	14	23
165	8	13	22
166	8	14	23
167	8	13	22
168	8	13	22
169	8	13	22
170	8	14	23
171	8	14	23
172	8	13	22
173	8	13	22
174	8	14	23
175	8	14	23
176	8	14	23
177	8	14	23
178	8	14	23
179	8	14	23
180	8	13	22
181	8	13	22
182	8	13	22
183	7	12	20
184	7	12	20
185	7	12	20
186	7	12	20
187	7	12	20
188	7	12	20
189	7	12	20
190	7	12	20
191	7	12	20
192	7	12	20
193	7	12	20
194	7	12	20
195	7	12	20
196	7	12	21
197	7	12	21
198	7	12	21
199	7	12	21
200	7	12	21
201	7	12	21
202	7	12	20
203	7	12	21
204	7	12	20
205	7	12	20
206	7	12	20
207	7	12	20
208	7	12	20
209	7	12	20
210	7	12	20
211	7	12	20
212	7	12	20
213	6	12	19
214	6	12	19
215	6	12	19
216	6	12	19
217	6	12	19
218	6	11	19
219	6	12	19
220	7	12	20
221	7	12	20
222	7	12	20
223	7	12	20
224	7	12	20
225	7	12	20
226	7	12	20
227	7	12	20
228	7	12	20
229	7	12	20
230	7	12	21
231	7	12	21
232	7	12	20
233	7	13	21
234	7	13	21
235	7	13	21
236	7	13	21
237	7	13	21
238	7	13	21
239	7	13	21
240	7	13	21
241	7	13	21
242	7	13	22
243	7	13	22
244	7	13	22
245	7	13	22
246	7	13	21
247	7	13	21
248	7	13	21
249	7	13	22
250	8	14	22
251	7	13	22
252	7	13	22
253	8	13	22
254	8	13	22
255	8	13	22
256	8	14	22
257	7	13	22
258	8	14	23
259	7	13	22
260	7	13	22
261	8	13	22
262	7	13	22
263	7	13	22
264	7	13	22
265	7	13	22
266	7	13	22
267	7	13	22
268	8	14	23
269	7	13	22
270	7	13	22
271	8	14	23
272	7	13	22
273	8	14	23
274	7	13	22
275	7	13	22
276	7	13	22
277	8	14	23
278	8	14	23
279	8	13	22
280	8	13	22
281	8	14	23
282	8	13	23
283	8	14	23
284	8	14	23
285	8	14	23
286	7	13	23
287	7	13	22
288	7	13	22
289	7	13	22
290	7	13	22
291	7	13	22
292	7	13	22
293	7	13	22
294	7	13	22
295	7	13	22
296	7	13	22
297	7	13	21
298	7	13	22
299	7	13	22
300	7	12	21
301	6	12	20
302	6	11	19
303	7	12	21
304	7	12	21
305	7	13	21
306	7	13	22
307	7	13	22
308	7	13	22
309	7	13	21
310	6	11	18
311	7	13	22
312	7	13	22
313	7	13	22
314	7	13	22
315	7	13	22
316	6	10	17
317	6	11	19
318	6	11	18
