pos	first	median	third
1	2	4	7
2	2	4	7
3	2	4	7
4	2	4	7
5	2	5	8
6	3	5	8
7	3	5	8
8	3	5	9
9	3	6	9
10	3	6	9
11	3	6	10
12	3	6	10
13	3	6	10
14	3	6	10
15	3	6	10
16	3	6	10
17	4	7	11
18	4	7	11
19	5	8	13
20	5	8	13
21	5	9	14
22	5	9	14
23	5	9	14
24	5	9	14
25	5	9	14
26	5	9	14
27	5	9	14
28	6	9	15
29	6	10	15
30	6	10	15
31	6	10	16
32	6	10	16
33	6	10	16
34	6	10	16
35	6	11	16
36	6	11	17
37	6	11	17
38	6	11	17
39	6	11	17
40	6	11	17
41	7	12	18
42	7	12	18
43	7	12	19
44	7	12	19
45	7	12	19
46	7	12	19
47	7	12	19
48	7	13	19
49	7	13	19
50	7	13	19
51	7	13	19
52	8	13	20
53	8	13	20
54	8	13	20
55	8	13	20
56	8	13	20
57	8	13	21
58	8	13	21
59	8	13	21
60	8	13	21
61	8	14	21
62	9	14	22
63	9	15	22
64	9	15	23
65	9	15	23
66	9	15	23
67	9	15	23
68	9	15	23
69	9	15	23
70	9	15	23
71	9	15	23
72	9	15	23
73	9	15	24
74	9	15	24
75	9	15	24
76	9	15	24
77	9	15	24
78	10	16	25
79	10	16	26
80	10	17	26
81	10	17	26
82	10	17	26
83	10	17	26
84	10	17	26
85	10	17	27
86	10	17	27
87	10	17	26
88	10	17	26
89	10	17	26
90	10	17	26
91	10	17	26
92	10	17	26
93	10	16	25
94	10	16	25
95	10	16	25
96	10	17	26
97	10	17	26
98	10	17	26
99	10	16	26
100	10	16	26
101	10	17	26
102	10	16	26
103	10	17	26
104	10	17	26
105	10	17	26
106	10	17	26
107	10	17	26
108	10	16	26
109	10	17	26
110	10	17	26
111	10	17	26
112	11	17	27
113	11	17	27
114	11	18	27
115	10	17	27
116	10	17	27
117	11	17	27
118	10	17	27
119	10	17	27
120	10	17	26
121	10	16	25
122	10	16	25
123	10	16	24
124	10	16	25
125	9	16	24
126	9	16	24
127	9	16	24
128	9	16	24
129	9	15	24
130	10	16	24
131	10	16	24
132	10	16	24
133	9	15	23
134	9	15	23
135	9	15	23
136	9	15	23
137	9	15	22
138	9	15	23
139	8	14	21
140	8	14	21
141	8	13	21
142	8	14	21
143	8	14	21
144	8	13	21
145	8	13	21
146	8	13	20
147	8	13	21
148	8	13	20
149	8	13	21
150	8	13	21
151	8	13	21
152	8	13	20
153	8	13	20
154	8	13	20
155	8	13	20
156	8	13	20
157	8	13	20
158	8	12	19
159	7	12	19
160	7	12	19
161	7	12	19
162	7	12	19
163	7	12	18
164	7	12	19
165	7	12	18
166	7	12	19
167	7	12	18
168	7	12	18
169	7	12	18
170	7	12	19
171	7	12	18
172	7	12	18
173	7	12	18
174	7	12	19
175	7	12	19
176	7	12	19
177	7	12	19
178	7	12	19
179	7	12	19
180	7	12	18
181	7	12	18
182	7	12	18
183	6	11	17
184	6	11	17
185	6	11	17
186	6	11	17
187	6	11	16
188	6	10	16
189	6	11	16
190	6	11	17
191	6	11	17
192	6	11	17
193	6	11	17
194	6	11	17
195	6	11	17
196	7	11	17
197	7	11	17
198	7	11	17
199	6	11	17
200	7	11	17
201	6	11	17
202	6	11	17
203	6	11	17
204	6	10	16
205	6	11	17
206	6	11	16
207	6	11	17
208	6	11	16
209	6	11	17
210	6	11	17
211	6	11	17
212	6	11	17
213	6	10	16
214	6	10	16
215	6	10	16
216	6	10	16
217	6	10	16
218	6	10	16
219	6	10	16
220	6	10	16
221	6	11	16
222	6	11	17
223	6	11	17
224	6	11	17
225	6	11	17
226	6	11	17
227	6	11	17
228	6	11	17
229	6	11	17
230	6	11	17
231	6	11	17
232	6	11	17
233	7	11	18
234	7	11	18
235	7	11	18
236	7	11	18
237	7	11	17
238	7	11	17
239	7	11	17
240	7	11	18
241	7	11	18
242	7	12	18
243	7	12	18
244	7	12	18
245	7	12	18
246	7	12	18
247	7	11	18
248	7	11	18
249	7	12	18
250	7	12	19
251	7	12	19
252	7	12	18
253	7	12	19
254	7	12	19
255	7	12	19
256	7	12	19
257	7	12	19
258	7	12	19
259	7	12	18
260	7	12	19
261	7	12	19
262	7	12	18
263	7	12	18
264	7	12	19
