chr	start	end	cell_id	state	copy
1	1	5e+05	2N D	2	NA
1	500001	1e+06	2N D	2	NA
1	1000001	1500000	2N D	2	2.03178173140233
1	1500001	2e+06	2N D	2	1.84117628294787
1	2000001	2500000	2N D	2	2.24551103312842
1	2500001	3e+06	2N D	2	NA
1	3000001	3500000	2N D	2	2.20633864636632
1	3500001	4e+06	2N D	2	NA
1	4000001	4500000	2N D	2	2.09887659942734
1	4500001	5e+06	2N D	2	2.12050322362272
1	5000001	5500000	2N D	2	2.07793889277014
1	5500001	6e+06	2N D	2	2.13611526086244
1	6000001	6500000	2N D	2	2.10936347414718
1	6500001	7e+06	2N D	2	1.98369839386635
1	7000001	7500000	2N D	2	2.04314778062792
1	7500001	8e+06	2N D	2	2.00311849211263
1	8000001	8500000	2N D	2	1.98552994695639
1	8500001	9e+06	2N D	2	1.96039347132994
1	9000001	9500000	2N D	2	2.01329061060752
1	9500001	1e+07	2N D	2	1.95838343865022
1	10000001	10500000	2N D	2	1.88717840193449
1	10500001	1.1e+07	2N D	2	1.91563113222292
1	11000001	11500000	2N D	2	2.0081466116125
1	11500001	1.2e+07	2N D	2	2.05863365576286
1	12000001	12500000	2N D	2	2.00481423034753
1	12500001	1.3e+07	2N D	2	1.93156648151766
1	13000001	13500000	2N D	2	NA
1	13500001	1.4e+07	2N D	2	NA
1	14000001	14500000	2N D	2	2.00138809259924
1	14500001	1.5e+07	2N D	2	2.07209572304622
1	15000001	15500000	2N D	2	2.1147781032049
1	15500001	1.6e+07	2N D	2	1.98537671455617
1	16000001	16500000	2N D	2	1.94820220621691
1	16500001	1.7e+07	2N D	2	2.68244373414521
1	17000001	17500000	2N D	2	NA
1	17500001	1.8e+07	2N D	2	2.04162801096158
1	18000001	18500000	2N D	2	2.15808078455707
1	18500001	1.9e+07	2N D	2	2.12771460767452
1	19000001	19500000	2N D	2	2.17595385964076
1	19500001	2e+07	2N D	2	1.9893381034396
1	20000001	20500000	2N D	2	2.11005850403661
1	20500001	2.1e+07	2N D	2	2.13544060380293
1	21000001	21500000	2N D	2	1.86442723528357
1	21500001	2.2e+07	2N D	2	1.96679227964204
1	22000001	22500000	2N D	2	1.92510208958655
1	22500001	2.3e+07	2N D	2	2.116730890219
1	23000001	23500000	2N D	2	2.02961107624604
1	23500001	2.4e+07	2N D	2	1.98589460706129
1	24000001	24500000	2N D	2	1.61415202160707
1	24500001	2.5e+07	2N D	2	2.00638598472858
1	25000001	25500000	2N D	2	1.99946104913233
1	25500001	2.6e+07	2N D	2	1.7318651606954
1	26000001	26500000	2N D	2	2.04463666865452
1	26500001	2.7e+07	2N D	2	2.00800988144405
1	27000001	27500000	2N D	2	2.00512945438884
1	27500001	2.8e+07	2N D	2	1.97300824736843
1	28000001	28500000	2N D	2	1.92361452108232
1	28500001	2.9e+07	2N D	2	1.86211527984783
1	29000001	29500000	2N D	2	1.92072826897818
1	29500001	3e+07	2N D	2	NA
1	30000001	30500000	2N D	2	NA
1	30500001	3.1e+07	2N D	2	2.08593769710857
1	31000001	31500000	2N D	2	2.02108285907861
1	31500001	3.2e+07	2N D	2	1.98976509438189
1	32000001	32500000	2N D	2	2.04229404161347
1	32500001	3.3e+07	2N D	2	1.96599273708372
1	33000001	33500000	2N D	2	1.96585939769831
1	33500001	3.4e+07	2N D	2	2.07433657893956
1	34000001	34500000	2N D	2	2.10988192680192
1	34500001	3.5e+07	2N D	2	2.13743974658376
1	35000001	35500000	2N D	2	1.97318809294865
1	35500001	3.6e+07	2N D	2	1.89887283720883
1	36000001	36500000	2N D	2	1.94481894527367
1	36500001	3.7e+07	2N D	2	1.98572817602882
1	37000001	37500000	2N D	2	2.14447152951273
1	37500001	3.8e+07	2N D	2	2.03485019861842
1	38000001	38500000	2N D	2	1.98271979271804
1	38500001	3.9e+07	2N D	2	2.05495451847609
1	39000001	39500000	2N D	2	1.9921039379749
1	39500001	4e+07	2N D	2	1.90102790002131
1	40000001	40500000	2N D	2	1.93603330204054
1	40500001	4.1e+07	2N D	2	1.94578272902663
1	41000001	41500000	2N D	2	2.02178110740253
1	41500001	4.2e+07	2N D	2	1.97000368045398
1	42000001	42500000	2N D	2	2.13654937641021
1	42500001	4.3e+07	2N D	2	2.01929460862914
1	43000001	43500000	2N D	2	2.01262063162683
1	43500001	4.4e+07	2N D	2	2.02922344399323
1	44000001	44500000	2N D	2	2.13579655223742
1	44500001	4.5e+07	2N D	2	2.1216194565394
1	45000001	45500000	2N D	2	2.04388204231709
1	45500001	4.6e+07	2N D	2	1.94006156771759
1	46000001	46500000	2N D	2	1.90938794091233
1	46500001	4.7e+07	2N D	2	1.97309415650741
1	47000001	47500000	2N D	2	2.01392901260539
1	47500001	4.8e+07	2N D	2	1.91023739854823
1	48000001	48500000	2N D	2	2.13506296749233
1	48500001	4.9e+07	2N D	2	1.96188810375802
1	49000001	49500000	2N D	2	2.14492088098665
1	49500001	5e+07	2N D	2	2.11560169878457
1	50000001	50500000	2N D	2	1.97239524334036
1	50500001	5.1e+07	2N D	2	2.03095202408416
1	51000001	51500000	2N D	2	1.93462854594375
1	51500001	5.2e+07	2N D	2	1.92447072683814
1	52000001	52500000	2N D	2	1.98556210332525
1	52500001	5.3e+07	2N D	2	1.98583410509305
1	53000001	53500000	2N D	2	1.88240452735464
1	53500001	5.4e+07	2N D	2	2.12668367751722
1	54000001	54500000	2N D	2	2.05763357421301
1	54500001	5.5e+07	2N D	2	2.03987028427342
1	55000001	55500000	2N D	2	2.04220682045764
1	55500001	5.6e+07	2N D	2	2.08534523568326
1	56000001	56500000	2N D	2	2.08259256247514
1	56500001	5.7e+07	2N D	2	2.09321787240341
1	57000001	57500000	2N D	2	2.11195276549774
1	57500001	5.8e+07	2N D	2	2.10908143681203
1	58000001	58500000	2N D	2	2.12034440253445
1	58500001	5.9e+07	2N D	2	2.07419946071706
1	59000001	59500000	2N D	2	2.07296980214088
1	59500001	6e+07	2N D	2	2.07441528689112
1	60000001	60500000	2N D	2	2.0732250552672
1	60500001	6.1e+07	2N D	2	2.03237237940723
1	61000001	61500000	2N D	2	2.06422488678424
1	61500001	6.2e+07	2N D	2	2.00189521822943
1	62000001	62500000	2N D	2	1.98606236378819
1	62500001	6.3e+07	2N D	2	1.95101663944319
1	63000001	63500000	2N D	2	1.94371865411595
1	63500001	6.4e+07	2N D	2	1.91221141476274
1	64000001	64500000	2N D	2	2.06554877523833
