"","Position","Gene"
"1",1,"None"
"2",2,"None"
"3",3,"None"
"4",4,"None"
"5",5,"None"
"6",6,"None"
"7",7,"None"
"8",8,"None"
"9",9,"None"
"10",10,"None"
"11",11,"None"
"12",12,"None"
"13",13,"None"
"14",14,"None"
"15",15,"None"
"16",16,"None"
"17",17,"None"
"18",18,"None"
"19",19,"None"
"20",20,"None"
"21",21,"None"
"22",22,"None"
"23",23,"None"
"24",24,"None"
"25",25,"None"
"26",26,"None"
"27",27,"None"
"28",28,"None"
"29",29,"None"
"30",30,"None"
"31",31,"None"
"32",32,"None"
"33",33,"None"
"34",34,"None"
"35",35,"None"
"36",36,"None"
"37",37,"None"
"38",38,"None"
"39",39,"None"
"40",40,"None"
"41",41,"None"
"42",42,"None"
"43",43,"None"
"44",44,"None"
"45",45,"None"
"46",46,"None"
"47",47,"None"
"48",48,"None"
"49",49,"None"
"50",50,"None"
"51",51,"None"
"52",52,"None"
"53",53,"None"
"54",54,"None"
"55",55,"None"
"56",56,"None"
"57",57,"None"
"58",58,"None"
"59",59,"None"
"60",60,"None"
"61",61,"None"
"62",62,"None"
"63",63,"None"
"64",64,"None"
"65",65,"None"
"66",66,"None"
"67",67,"None"
"68",68,"None"
"69",69,"None"
"70",70,"None"
"71",71,"None"
"72",72,"None"
"73",73,"None"
"74",74,"None"
"75",75,"None"
"76",76,"None"
"77",77,"None"
"78",78,"None"
"79",79,"None"
"80",80,"None"
"81",81,"None"
"82",82,"None"
"83",83,"None"
"84",84,"None"
"85",85,"None"
"86",86,"None"
"87",87,"None"
"88",88,"None"
"89",89,"None"
"90",90,"None"
"91",91,"None"
"92",92,"None"
"93",93,"None"
"94",94,"None"
"95",95,"None"
"96",96,"None"
"97",97,"None"
"98",98,"None"
"99",99,"None"
"100",100,"None"
"101",101,"None"
"102",102,"None"
"103",103,"None"
"104",104,"None"
"105",105,"None"
"106",106,"None"
"107",107,"None"
"108",108,"None"
"109",109,"None"
"110",110,"None"
"111",111,"None"
"112",112,"None"
"113",113,"None"
"114",114,"None"
"115",115,"None"
"116",116,"None"
"117",117,"None"
"118",118,"None"
"119",119,"None"
"120",120,"None"
"121",121,"None"
"122",122,"None"
"123",123,"None"
"124",124,"None"
"125",125,"None"
"126",126,"None"
"127",127,"None"
"128",128,"None"
"129",129,"None"
"130",130,"None"
"131",131,"None"
"132",132,"None"
"133",133,"None"
"134",134,"None"
"135",135,"None"
"136",136,"None"
"137",137,"None"
"138",138,"None"
"139",139,"None"
"140",140,"None"
"141",141,"None"
"142",142,"None"
"143",143,"None"
"144",144,"None"
"145",145,"None"
"146",146,"None"
"147",147,"None"
"148",148,"None"
"149",149,"None"
"150",150,"None"
"151",151,"None"
"152",152,"None"
"153",153,"None"
"154",154,"None"
"155",155,"None"
"156",156,"None"
"157",157,"None"
"158",158,"None"
"159",159,"None"
"160",160,"None"
"161",161,"None"
"162",162,"None"
"163",163,"None"
"164",164,"None"
"165",165,"None"
"166",166,"None"
"167",167,"None"
"168",168,"None"
"169",169,"None"
"170",170,"None"
"171",171,"None"
