chr	start	end	cell_id	state	copy
1	1	5e+05	2N A	2	NA
1	500001	1e+06	2N A	2	NA
1	1000001	1500000	2N A	2	1.7918627488636
1	1500001	2e+06	2N A	2	1.83084060912301
1	2000001	2500000	2N A	2	1.99770401883489
1	2500001	3e+06	2N A	2	NA
1	3000001	3500000	2N A	2	1.97458177035834
1	3500001	4e+06	2N A	2	NA
1	4000001	4500000	2N A	2	2.00348485359835
1	4500001	5e+06	2N A	2	2.07607675749598
1	5000001	5500000	2N A	2	2.00711850569349
1	5500001	6e+06	2N A	2	2.0967752271303
1	6000001	6500000	2N A	2	1.9396139015006
1	6500001	7e+06	2N A	2	1.94721829768532
1	7000001	7500000	2N A	2	1.98097446266196
1	7500001	8e+06	2N A	2	1.96601860465181
1	8000001	8500000	2N A	2	1.91797784686663
1	8500001	9e+06	2N A	2	1.93870291073428
1	9000001	9500000	2N A	2	1.99992541688795
1	9500001	1e+07	2N A	2	2.12680031972409
1	10000001	10500000	2N A	3	2.98308660870078
1	10500001	1.1e+07	2N A	3	2.73108837897951
1	11000001	11500000	2N A	3	2.90618657825522
1	11500001	1.2e+07	2N A	3	2.90543716935089
1	12000001	12500000	2N A	3	3.66116685097306
1	12500001	1.3e+07	2N A	2	1.87642481205356
1	13000001	13500000	2N A	2	NA
1	13500001	1.4e+07	2N A	2	NA
1	14000001	14500000	2N A	2	1.98456716057132
1	14500001	1.5e+07	2N A	2	2.03296018721065
1	15000001	15500000	2N A	2	2.06940971877616
1	15500001	1.6e+07	2N A	2	1.96832036848001
1	16000001	16500000	2N A	2	1.84493615139996
1	16500001	1.7e+07	2N A	2	2.94810537079303
1	17000001	17500000	2N A	2	NA
1	17500001	1.8e+07	2N A	2	1.97318213381884
1	18000001	18500000	2N A	2	2.07729478078821
1	18500001	1.9e+07	2N A	2	2.00767723208898
1	19000001	19500000	2N A	2	2.17511142322377
1	19500001	2e+07	2N A	3	2.93801863797159
1	20000001	20500000	2N A	3	3.01374241626581
1	20500001	2.1e+07	2N A	3	3.07449025470525
1	21000001	21500000	2N A	3	2.74520037660271
1	21500001	2.2e+07	2N A	3	2.7970353273214
1	22000001	22500000	2N A	3	2.81177464466891
1	22500001	2.3e+07	2N A	3	2.9246553705075
1	23000001	23500000	2N A	3	2.89722397891993
1	23500001	2.4e+07	2N A	3	2.48384299313378
1	24000001	24500000	2N A	2	1.63767936587032
1	24500001	2.5e+07	2N A	2	1.9806012163354
1	25000001	25500000	2N A	2	1.94726774837181
1	25500001	2.6e+07	2N A	2	1.84430756305994
1	26000001	26500000	2N A	2	1.96919746995092
1	26500001	2.7e+07	2N A	2	1.97034240462215
1	27000001	27500000	2N A	2	1.94936479474793
1	27500001	2.8e+07	2N A	2	2.16927104796817
1	28000001	28500000	2N A	2	1.93536249894854
1	28500001	2.9e+07	2N A	2	2.40711125907793
1	29000001	29500000	2N A	2	3.74126036618623
1	29500001	3e+07	2N A	2	NA
1	30000001	30500000	2N A	2	NA
1	30500001	3.1e+07	2N A	2	1.97181185070292
1	31000001	31500000	2N A	2	1.90337710909093
1	31500001	3.2e+07	2N A	2	1.98940216996189
1	32000001	32500000	2N A	2	1.93524884677682
1	32500001	3.3e+07	2N A	2	1.97202516090148
1	33000001	33500000	2N A	2	2.796262885451
1	33500001	3.4e+07	2N A	2	2.88289843277014
1	34000001	34500000	2N A	2	2.05638789180604
1	34500001	3.5e+07	2N A	2	2.00131546031777
1	35000001	35500000	2N A	2	1.87446376366959
1	35500001	3.6e+07	2N A	2	1.92589872113408
1	36000001	36500000	2N A	2	2.16011257850836
1	36500001	3.7e+07	2N A	3	2.87668501169666
1	37000001	37500000	2N A	3	2.99414353292759
1	37500001	3.8e+07	2N A	3	2.75325763687353
1	38000001	38500000	2N A	3	2.69850109144893
1	38500001	3.9e+07	2N A	2	2.45148062852143
1	39000001	39500000	2N A	2	1.97492885352446
1	39500001	4e+07	2N A	2	1.90367047836672
1	40000001	40500000	2N A	2	1.89631290459755
1	40500001	4.1e+07	2N A	2	1.94335320023531
1	41000001	41500000	2N A	2	2.05033902713149
