gene	start	end	col	strand	xstart	xend	ystart	yend
CR	1	576	#52854C	1	1	576	0.255	0.285
TF	577	647	#F4EDCA	1	577	647	0.255	0.285
RNR1	648	1601	#DC1120	1	648	1601	0.255	0.285
TV	1602	1670	#F4EDCA	1	1602	1670	0.255	0.285
RNR2	1671	3229	#DC1120	1	1671	3229	0.255	0.285
TL1	3230	3304	#F4EDCA	1	3230	3304	0.255	0.285
ND1	3307	4262	#3F72B7	1	3307	4262	0.255	0.285
TI	4263	4330	#F4EDCA	1	4263	4330	0.255	0.285
TQ	4330	4400	#F4EDCA	-1	4330	4400	0.225	0.255
TM	4402	4469	#F4EDCA	1	4402	4469	0.255	0.285
ND2	4470	5511	#3F72B7	1	4470	5511	0.255	0.285
TW	5512	5579	#F4EDCA	1	5512	5579	0.255	0.285
TA	5587	5655	#F4EDCA	-1	5587	5655	0.225	0.255
TN	5657	5725	#F4EDCA	-1	5657	5725	0.225	0.255
OLR	5725	5780	brown	1	5725	5780	0.255	0.285
TC	5780	5826	#F4EDCA	-1	5780	5826	0.225	0.255
TY	5826	5891	#F4EDCA	-1	5826	5891	0.225	0.255
CO1	5904	7445	darkgoldenrod2	1	5904	7445	0.255	0.285
TS1	7446	7514	#F4EDCA	-1	7446	7514	0.225	0.255
TD	7518	7585	#F4EDCA	1	7518	7585	0.255	0.285
CO2	7586	8269	darkgoldenrod2	1	7586	8269	0.255	0.285
TK	8295	8364	#F4EDCA	1	8295	8364	0.255	0.285
ATP8	8366	8550	#68379C	1	8366	8550	0.255	0.285
ATP6	8550	9207	#68379C	1	8550	9207	0.255	0.285
CO3	9207	9990	darkgoldenrod2	1	9207	9990	0.255	0.285
TG	9991	10058	#F4EDCA	1	9991	10058	0.255	0.285
ND3	10059	10404	#3F72B7	1	10059	10404	0.255	0.285
TR	10405	10469	#F4EDCA	1	10405	10469	0.255	0.285
ND4L	10470	10760	#3F72B7	1	10470	10760	0.255	0.285
ND4	10760	12137	#3F72B7	1	10760	12137	0.255	0.285
TH	12138	12206	#F4EDCA	1	12138	12206	0.255	0.285
TS2	12207	12265	#F4EDCA	1	12207	12265	0.255	0.285
TL2	12266	12336	#F4EDCA	1	12266	12336	0.255	0.285
ND5	12337	14148	#3F72B7	1	12337	14148	0.255	0.285
ND6	14149	14673	#3F72B7	-1	14149	14673	0.225	0.255
TE	14674	14742	#F4EDCA	-1	14674	14742	0.225	0.255
CYB	14747	15887	#F75644	1	14747	15887	0.255	0.285
TT	15888	15953	#F4EDCA	1	15888	15953	0.255	0.285
TP	15956	16023	#F4EDCA	-1	15956	16023	0.225	0.255
CR	16024	16569	#52854C	1	16024	16569	0.255	0.285
